date,shares,amount,buy_flag
2003-08-13,3600.0,270000.0,0
2003-08-18,25776.0,1986339.8016,0
2003-08-20,80000.0,6252224.0,0
2003-08-21,20000.0,1574267.9999999998,0
2003-08-22,17369.0,1388825.24,0
2003-08-26,4000.0,314000.0,0
2003-09-02,2000.0,160500.0,0
2003-09-03,3754.0,299381.5,0
2003-09-04,31000.0,2464500.0,0
2003-11-11,500.0,42455.0,0
2003-12-17,9500.0,885187.0,0
2003-12-22,20076.0,1888532.68,0
2003-12-23,26093.0,2479474.2785,0
2004-01-22,12972.0,1231071.2,0
2004-02-11,55653.0,5338116.359999999,0
2004-02-12,55708.0,5296155.5600000005,0
2004-02-19,27316.0,2664675.8,0
2004-04-22,101000.0,8854199.0,0
2004-04-28,35133.0,3141730.5,0
2004-07-30,11400.0,1072293.0,0
2004-08-02,78600.0,7358496.0,0
2004-08-04,10360.0,963925.2,0
2004-08-23,113538.0,10598921.46,0
2004-09-02,1400.0,133616.0,0
2004-09-20,130000.0,12379858.0,0
2004-10-27,900.0,83070.0,1
2004-11-02,85000.0,8016529.0,0
2004-11-08,3700.0,359098.0,0
2004-11-10,1765.0,172427.5,0
2004-11-23,8157.0,793363.54,0
2004-11-30,2196.0,213085.72,0
2004-12-02,34780.0,3442955.34,0
2004-12-17,16190.0,1678901.6,0
2004-12-20,10691.0,1115605.8499999999,0
2004-12-23,50795.0,5368472.65,0
2005-01-24,658.0,65536.8,0
2005-01-25,9845.0,989073.4,0
2005-01-28,11000.0,1113374.0,0
2005-02-15,10484.0,1074610.0,0
2005-03-28,11157.0,1138014.0,0
2005-04-22,3000.0,307170.0,0
2005-05-16,900.0,92250.0,1
2005-05-24,21344.0,2283939.0,0
2005-05-27,12235.0,1315703.5,0
2005-06-09,1100.0,116259.0,0
2005-08-10,900.0,44865.0,1
2005-08-17,5564.0,286296.0,0
2005-08-18,36614.0,1880013.48,0
2005-09-26,4527.0,235947.24,0
2005-10-26,14226.0,728371.2000000001,0
2005-12-15,1568.0,90979.04000000001,0
2005-12-16,168010.0,9790850.8,0
2005-12-20,4305.0,247537.5,0
2005-12-27,2825.0,160130.0,0
2006-02-13,10600.0,607038.0,1
2006-02-14,13060.0,759833.2,0
2006-03-14,2175.0,126160.5,0
2006-04-19,18938.0,1204629.56,0
2006-04-20,91654.0,5836904.8,0
2006-04-24,36454.0,2342123.6,0
2006-04-25,19358.0,1242994.56,0
2006-04-27,58900.0,3769615.0,0
2006-05-01,57337.0,3607763.6,0
2006-08-17,80730.0,5005378.0,0
2006-10-18,10490.0,684222.6,0
2006-10-19,30331.0,1974155.0299999998,0
2006-10-25,12000.0,782251.0,0
2006-10-26,35800.0,2327790.0,0
2006-10-31,98000.0,6460182.5,0
2006-11-17,125083.0,8262802.2,0
2006-11-22,150920.0,9947812.299999999,0
2006-11-24,69080.0,4543198.6,0
2007-01-24,72400.0,4799992.55,0
2007-01-25,85461.0,5677681.2,0
2007-03-21,8000.0,528000.0,0
2007-03-27,13000.0,858008.0,0
2007-04-24,17072.0,1159433.771,0
2007-04-25,8000.0,540680.0,0
2007-05-04,1156.0,78584.88,0
2007-05-24,12481.0,854326.45,0
2007-06-05,13000.0,919727.0,0
2007-06-21,87103.0,6257573.8211,0
2007-07-20,84377.0,6485317.22,0
2007-07-25,17780.0,1334922.4,0
2007-09-18,75623.0,5907549.4757,0
2007-09-19,70756.0,5556211.6386,0
2007-09-20,19249.0,1512842.4300000002,0
2007-11-13,4725.0,353396.0,0
2007-12-07,134726.0,10516042.848,0
2007-12-17,21000.0,1577671.6,0
2008-01-28,225.0,16577.55,1
2008-01-28,8000.0,582000.0,0
2008-04-25,13622.0,991011.8,0
2008-07-23,12000.0,784945.8,0
2008-10-17,1400.0,72558.4,1
2008-10-21,12000.0,621125.0,0
2008-10-22,500.0,24460.0,1
2008-10-30,32000.0,1713968.1999999997,0
2008-12-16,1358.0,70115.39199999999,0
2008-12-29,12416.0,633216.0,0
2008-12-31,80000.0,4301576.0,0
2009-03-17,1000.0,41720.0,1
2009-05-11,18136.0,953046.7999999999,0
2009-06-09,19458.0,1083394.896,0
2009-06-17,12268.0,674740.0,0
2009-08-10,25800.0,1443676.8059999999,0
2009-08-11,19069.0,1063351.7716,0
2009-08-21,125000.0,7342859.0,0
2009-08-24,20600.0,1222213.78,0
2009-08-25,46600.0,2792574.8200000008,0
2009-08-26,8306.0,496294.48199999996,0
2009-09-01,15555.0,928500.0,0
2009-09-10,5000.0,309660.9,0
2009-09-11,37553.0,2318899.75,0
2009-09-14,2500.0,153450.0,0
2009-09-17,25100.0,1564303.2,0
2009-09-23,30000.0,1890258.9,0
2009-11-16,78453.0,5398003.34,0
2009-11-17,125000.0,8718752.7,0
2009-11-23,11800.0,809166.97,0
2009-12-15,18200.0,1269450.0,0
2009-12-16,94696.0,6670554.654,0
2010-03-09,20000.0,1440000.0,0
2010-03-19,108000.0,7931733.5,0
2010-03-22,13115.0,954972.3800000001,0
2010-03-25,75000.0,5532755.6,0
2010-04-22,114319.0,8729541.1149,0
2010-07-26,16923.0,1211985.192,0
2010-09-14,13000.0,895050.6999999998,0
2010-10-21,100000.0,7506514.44,0
2010-10-28,5000.0,375000.0,0
2010-11-05,16900.0,1292146.1635,0
2010-11-09,57000.0,4361020.7144,0
2010-11-11,24443.0,1838728.1,0
2010-12-01,36000.0,2792386.5154,0
2010-12-02,19350.0,1530112.5860000001,0
2010-12-03,19000.0,1491098.3,0
2010-12-15,37216.0,2937163.0,0
2010-12-31,36000.0,2831210.7,0
