date,shares,amount,buy_flag
2005-09-28,5500.0,133796.85,1
2005-09-29,4600.0,112274.95999999999,1
2005-09-30,21500.0,516380.55000000005,1
2005-10-03,16000.0,384284.80000000005,1
2005-10-04,17800.0,430911.3,1
2005-10-05,134100.0,3318358.14,1
2005-10-06,70100.0,1720485.3299999998,1
2005-10-07,146700.0,3520844.01,1
2005-10-11,86900.0,2085600.0,1
2005-10-12,22200.0,532968.72,1
2005-10-13,63630.0,1527992.6199999999,1
2005-10-14,8400.0,201594.96000000002,1
2005-10-17,27500.0,666685.25,1
2005-10-18,1400.0,34399.96,1
2005-10-19,5000.0,126257.0,1
2005-10-20,7400.0,184612.24000000002,1
2005-10-21,5900.0,143129.28,1
2005-10-24,22100.0,533166.92,1
2005-10-25,5900.0,143315.13,1
2005-10-26,2900.0,71839.96,1
2005-10-27,2500.0,63284.0,1
2005-10-28,4700.0,119350.86,1
2005-10-31,4700.0,118063.06000000001,1
2005-11-01,1700.0,43535.98,1
2005-11-02,10100.0,256809.67,1
2005-11-03,12200.0,310293.58,1
2005-11-04,14600.0,368480.63999999996,1
2005-11-07,7800.0,206051.81999999998,1
2005-11-08,16200.0,428846.4,1
2005-11-09,8800.0,224690.40000000002,1
2005-11-10,30500.0,835062.55,1
2005-11-14,12300.0,339155.27999999997,1
2005-11-15,9100.0,255056.62,1
2005-11-16,13900.0,400082.31,1
2005-11-18,10000.0,265989.0,1
2005-11-21,14200.0,373193.54,1
2005-11-22,16000.0,422846.04,1
2005-11-28,3000.0,79818.90000000001,1
2005-11-29,1400.0,37389.94,1
2005-11-30,100.0,2666.0,1
2005-12-05,4500.0,119600.1,1
2005-12-06,2200.0,58364.02,1
2005-12-07,4500.0,117282.15,1
2005-12-08,6800.0,183272.91999999998,1
2005-12-13,3100.0,81218.14,1
2005-12-14,2800.0,73015.88,1
2005-12-15,2300.0,58934.05,1
2005-12-16,2600.0,67533.95999999999,1
2005-12-19,6600.0,173638.74000000002,1
2005-12-20,2300.0,58932.9,1
2005-12-21,900.0,22789.98,1
2005-12-22,2100.0,53783.94,1
2005-12-27,4600.0,116069.96,1
2005-12-28,100.0,2535.0,1
2006-06-06,177000.0,3873308.0,1
2006-06-07,600000.0,13502593.0,1
2006-06-08,500000.0,11210366.0,1
2006-06-09,406100.0,9150498.0,1
2006-06-12,350000.0,7823506.0,1
2006-06-13,876600.0,18570764.0,1
2006-06-14,1600000.0,33277895.0,1
2006-06-15,1350000.0,28007497.0,1
2006-06-16,447100.0,9278260.0,1
2006-06-19,648300.0,13389891.0,1
2006-06-20,525000.0,10800972.0,1
2006-06-21,950000.0,19569637.0,1
2006-06-22,479900.0,9837521.0,1
2006-06-23,553400.0,11255301.0,1
2006-06-26,264800.0,5394366.0,1
2006-06-27,395000.0,8054802.0,1
2006-06-28,410170.0,8359394.4,1
2006-06-29,508600.0,10357902.0,1
2006-06-30,1200000.0,24405679.0,1
2006-07-03,125000.0,2539494.0,1
2006-07-05,300000.0,6165826.0,1
2006-07-06,160600.0,3300658.0,1
2006-07-07,270000.0,5553796.0,1
2006-07-10,205000.0,4220679.0,1
2006-07-11,250000.0,5105111.0,1
2006-07-12,240000.0,4882423.0,1
2006-07-13,320000.0,6474434.0,1
2006-07-14,295000.0,5934861.0,1
2006-07-17,226500.0,4610012.1,1
2006-07-18,284300.0,5795441.0,1
2006-07-19,435000.0,9039377.0,1
2006-07-20,385000.0,8047529.0,1
2006-07-21,650000.0,13484704.0,1
2006-07-24,356000.0,7305358.0,1
2006-07-25,360000.0,7384449.0,1
2006-07-26,515000.0,10480360.0,1
2006-07-27,412300.0,8436134.0,1
2006-07-28,320000.0,6648093.0,1
2006-07-31,300000.0,6206919.0,1
2006-08-01,171445.0,3512175.6,1
2006-08-02,150000.0,3079995.0,1
2006-08-03,215000.0,4425789.0,1
2006-08-04,576900.0,12062237.0,1
2006-08-07,240500.0,5028157.0,1
2006-08-08,662300.0,13851746.0,1
2006-08-09,644900.0,13260981.0,1
2006-08-10,240000.0,4910843.0,1
2006-08-11,230000.0,4692963.0,1
2006-08-14,501500.0,10291876.0,1
2006-08-15,380000.0,7956582.0,1
2006-08-16,546624.0,11456599.72,1
2006-08-17,315000.0,6622646.0,1
2006-08-18,376000.0,7908708.0,1
2006-08-21,284000.0,5964265.0,1
2006-08-22,202791.0,4226744.720000001,1
2008-05-12,39000000.0,312000000.0,1
2008-06-05,400000.0,3678353.22,1
2008-06-06,500000.0,4399851.37,1
2008-06-09,1100000.0,9459946.879999999,1
2008-06-11,1500000.0,12860998.58,1
2008-06-12,406300.0,3534361.9999999995,1
2008-06-19,1093700.0,9006449.26,1
2008-11-11,1500000.0,3740920.2199999997,1
2008-11-12,2788486.0,6500681.860000001,1
2022-01-27,14184414.0,588653181.0,1
