date,shares,amount,buy_flag
2004-01-29,474818.0,5943106.52,0
2004-02-02,100000.0,1248755.0,0
2004-02-04,2173.964,26304.964399999997,0
2004-02-12,4000.0,50369.0,1
2004-02-17,207500.0,2653165.0,0
2004-02-23,250000.0,3071889.0,0
2004-02-24,250000.0,3016581.0,0
2004-02-25,20627.0,246698.92,0
2004-02-26,20251.0,243822.03999999998,0
2004-03-01,350000.0,4317446.0,0
2004-03-02,250000.0,3073762.0,0
2004-03-08,250000.0,3014679.0,0
2004-03-09,250000.0,2895205.0,0
2004-03-15,350000.0,3891413.0,0
2004-03-16,250000.0,2768267.0,0
2004-03-22,250000.0,2744478.0,0
2004-03-23,250000.0,2721287.0,0
2004-03-29,250000.0,2873835.0,0
2004-03-30,250000.0,2877244.0,0
2004-04-01,100000.0,1171491.0,0
2004-04-05,250000.0,2888444.0,0
2004-04-06,250000.0,2849295.0,0
2004-04-12,250000.0,2846047.0,0
2004-04-13,250000.0,2786965.0,0
2004-04-16,100000.0,1100292.0,0
2004-05-10,6750.0,65437.0,0
2004-07-23,10000.0,87020.0,0
2004-08-02,1358.0,11719.54,0
2004-08-12,100000.0,865187.0,0
2004-08-13,100000.0,861371.0,0
2004-10-28,20000.0,184260.0,0
2004-10-29,80000.0,730791.0,0
2004-11-16,25000.0,261151.0,0
2004-11-29,25000.0,273895.0,0
2004-11-30,25314.0,272550.36,0
2004-12-16,25000.0,297500.0,0
2005-01-19,44500.0,504221.0,0
2005-01-25,1000.0,11270.0,0
2005-01-26,100000.0,1126748.0,0
2005-02-25,11126.0,118764.71999999999,0
2005-04-21,6100.0,61000.0,0
2005-04-26,13500.0,137409.0,0
2005-05-09,10000.0,106923.0,0
2005-07-25,12657.0,173042.33,0
2005-07-26,289650.0,3932955.0,0
2005-07-27,281250.0,3843417.0,0
2005-07-28,100000.0,1374826.0,0
2005-08-01,50625.0,704588.625,0
2005-08-03,58910.0,809645.7,0
2005-08-15,281250.0,3872330.5,0
2005-08-16,281250.0,3932375.5,0
2005-08-22,281250.0,3956938.5,0
2005-08-23,281250.0,3937838.0,0
2005-10-24,36000.0,508838.0,0
2005-10-28,12500.0,180959.0,0
2005-10-31,30000.0,449038.0,0
2005-11-18,350000.0,5228782.0,0
2005-11-23,120000.0,1846179.0,0
2005-11-28,250000.0,3841087.0,0
2005-11-29,250000.0,3812561.0,0
2005-12-05,250000.0,3871829.0,0
2005-12-06,250000.0,3903875.29,0
2005-12-12,250000.0,3714986.0,0
2005-12-13,250000.0,3735056.0,0
2006-02-02,495300.0,7158925.55,0
2006-02-03,2500.0,35924.84,1
2006-02-03,500000.0,7223164.8500000015,0
2006-02-06,500000.0,7283424.970000001,0
2006-02-07,500000.0,7290668.069999998,0
2006-02-08,500000.0,7262445.38,0
2006-02-09,500000.0,7353696.71,0
2006-02-10,500000.0,7251322.540000001,0
2006-02-13,500000.0,7220744.600000001,0
2006-02-14,500000.0,7449438.459999999,0
2006-02-27,1276621.0,21166411.149999995,0
2006-02-28,1148236.0,18754961.790000003,0
2006-04-19,10000.0,178103.0,0
2006-04-20,10000.0,177292.0,0
2006-04-27,3000.0,53130.0,1
2006-05-10,16875.0,305460.5,0
2006-05-31,50000.0,832261.6299999999,0
2006-07-24,17425.0,259033.93,0
2006-07-26,12500.0,187150.0,0
2006-07-27,27450.0,421848.24,0
2006-08-16,400000.0,6526797.1,0
2006-08-17,750000.0,12300152.300000003,0
2006-08-18,750000.0,12298845.330000004,0
2006-08-21,750000.0,12165804.89,0
2006-08-22,350000.0,5749285.95,0
2006-10-23,4000.0,68227.2,0
2006-10-27,170000.0,3008537.63,0
2006-11-07,25000.0,471275.85,0
2006-11-21,50506.0,969448.8500000001,0
2006-12-01,57131.0,1028196.73,0
2007-01-26,50628.0,942399.49,0
2007-02-02,38250.0,740912.7200000001,0
2007-02-05,500000.0,9701437.280000001,0
2007-02-06,500000.0,9616226.17,0
2007-02-07,510000.0,9830418.36,0
2007-02-08,500000.0,9649420.04,0
2007-02-09,500000.0,9480796.98,0
2007-02-22,185000.0,3650568.67,0
2007-02-28,11191.0,206801.5,0
2007-04-20,40125.0,777214.3400000001,0
2007-04-26,10125.0,200171.25,0
2007-04-27,803446.0,15797582.330000002,0
2007-04-30,900000.0,17399675.28,0
2007-05-01,900000.0,17140860.090000004,0
2007-05-02,900000.0,17364547.590000004,0
2007-05-03,548000.0,10642871.92,0
2007-05-08,70000.0,1353613.6600000001,0
2007-05-09,3750.0,72937.5,0
2007-05-15,32000.0,632527.0,0
2007-05-18,42900.0,894103.0,0
2007-08-08,18104.0,371132.0,0
2007-08-15,17067213.0,349877866.5,0
2007-11-07,25000.0,561587.8200000001,0
2007-11-12,9436.0,219292.63999999998,0
2007-11-30,75000.0,1854978.9800000002,0
2007-12-19,30869.0,746621.74,0
2008-01-25,41362.0,881658.45,0
2008-02-15,15000.0,301962.265,0
2008-04-23,507080.0,10868509.85,0
2008-04-24,2429035.0,53127055.755,0
2008-04-25,375000.0,8175480.909999999,0
2008-04-28,7080.0,157190.1,0
2008-07-23,20000.0,460800.0,0
2008-08-06,44485.0,1016980.482,0
