date,shares,amount,buy_flag
2003-11-26,2000.0,137560.0,0
2003-12-19,500.0,34225.0,0
2004-02-09,200.0,15712.0,0
2004-07-30,8200.0,616886.96,0
2004-08-30,900.0,67086.0,0
2004-09-08,860.0,66142.59999999999,0
2004-12-16,785.0,69989.15,0
2004-12-29,7200.0,655200.0,0
2004-12-30,6100.0,558515.0,0
2005-01-07,12680.0,1158952.0,0
2005-02-15,6500.0,615560.0,0
2005-04-29,1000.0,87200.0,0
2005-09-14,26857.0,1290478.8499999999,0
2005-09-15,51.0,2441.88,0
2005-10-31,4000.0,194920.0,0
2005-11-01,10000.0,485801.0,0
2006-03-27,8000.0,456851.2,0
2006-05-02,30000.0,1645200.0,0
2006-07-31,6400.0,360472.32,0
2006-08-23,4280.0,242105.8,0
2006-10-23,349.0,22346.47,0
2006-10-25,2000.0,126580.0,0
2006-10-27,5495.0,347613.7,0
2006-12-19,70000.0,4809581.0,0
2006-12-20,20000.0,1371298.0,0
2006-12-21,61500.0,4203678.0,0
2006-12-22,50654.0,3453189.5534,0
2007-03-21,10000.0,653000.0,0
2007-05-03,200.0,13334.0,1
2007-07-16,200.0,12790.0,1
2007-07-31,200.0,12304.0,1
2007-12-10,400.0,18664.0,1
2011-03-30,25000.0,1002000.0,0
2011-12-13,5000.0,214244.0,1
2012-07-27,3215.0,150269.1,0
2012-08-02,3800.0,177174.62,0
2012-08-07,20000.0,987532.0000000001,0
2012-08-08,4963.0,243987.0356,0
2012-08-13,3000.0,147706.5,1
2012-08-14,5727.0,285250.416,0
2013-05-08,20000.0,1086590.0,0
2013-07-26,25000.0,1500000.0,0
2013-07-30,2500.0,150647.5,1
2013-10-28,20000.0,1420000.0,0
2013-10-29,3670.0,262528.679,0
2014-02-05,15000.0,1155000.0,0
2014-02-11,84889.0,6827367.603,0
2014-03-05,4257.0,344646.72,0
2014-03-06,10192.0,834604.5344,0
2014-05-12,16000.0,1270815.1,0
2014-06-09,15000.0,1260783.0,0
2014-06-12,1000.0,84420.1,0
2014-06-24,12139.0,1011132.5718,0
2014-06-25,500000.0,41329850.0,0
2015-02-13,7948.0,808264.8985,0
2015-02-17,400.0,41227.96,1
2015-02-18,6530.0,684089.2590000001,0
2015-02-19,2990.0,314069.30100000004,0
2015-02-27,154000.0,15898867.6,0
2015-03-02,19917.0,2058314.3982,0
2015-03-20,4372.0,474913.30919999996,0
2015-06-26,1043.0,108106.95000000001,0
2015-07-28,2000.0,195579.80000000002,1
2015-08-05,930.0,94404.3,0
2015-09-16,11000.0,1042587.7,1
2015-09-21,5500.0,510666.2,1
2016-03-07,3000.0,281826.0,0
2016-03-24,3700.0,356228.60000000003,0
2016-04-27,2000.0,215048.0,0
2016-04-29,10000.0,1063551.0,0
2016-05-16,4827.0,512224.3,0
2016-05-20,6247.0,673250.28,0
2016-05-25,9238.0,1024731.1442,0
2016-06-02,1288.0,142060.74,0
2016-08-01,36674.0,4436501.4562,0
2016-09-13,500.0,61540.0,0
2016-11-14,133.0,16683.3072,0
2017-01-23,400.0,46360.0,1
2017-02-08,3724.0,465395.196,0
2017-02-24,28603.0,3729957.0532,0
2017-03-15,400.0,52341.04,1
2017-04-03,69.0,8970.689999999999,1
2017-05-30,400.0,56035.96,1
2017-08-23,860.0,130291.72,0
2017-11-03,1596.0,249774.0,0
2017-11-09,1404.0,223769.52,0
2017-11-15,4000.0,631160.0,0
2018-02-15,4000.0,749200.0,0
2018-03-07,890.0,167793.48,0
2018-03-08,15902.0,3056213.3175,0
2018-05-15,4000.0,791000.0,0
2018-05-29,1936.0,381252.02719999995,0
2018-06-12,508.0,105918.0,0
2018-08-15,4000.0,805080.0,0
2018-08-22,350.0,71172.5,0
2018-11-05,225.0,41289.75,0
2019-02-11,4000.0,776789.0,0
2019-02-12,1791.0,350570.34,0
2019-03-01,9669.0,1955262.96,0
2019-03-06,1791.0,354653.82,0
2019-03-28,1790.0,368525.2,0
2019-05-06,8000.0,1724751.9200000002,0
2019-05-07,6305.0,1370192.85,0
2019-05-15,6000.0,1266072.0,0
2019-07-09,1007.0,232053.08,0
2019-08-05,5500.0,1374325.5,0
2019-08-08,9911.0,2506982.12,0
2019-08-14,1007.0,256241.22,0
2019-08-16,6000.0,1528992.0,0
2019-08-22,1606.0,423052.52,0
2019-08-23,394.0,101455.0,0
2019-08-27,82.0,21038.34,0
2019-10-31,4979.0,1278205.7,0
2019-11-15,7098.0,1856965.7999999998,0
2020-07-30,48117.0,16903814.32,0
2020-07-31,3496.0,1219106.0,0
2020-08-03,2580.0,910120.7999999999,0
2020-11-16,7000.0,2376748.03,0
2021-02-16,7000.0,2384850.7,0
2021-05-14,7000.0,2653382.0,0
2022-03-02,5819.0,2354720.08,0
2022-03-04,1591.0,647902.93,0
2022-03-10,3870.0,1475553.5999999999,0
2022-05-13,2287.0,763263.38,0
2022-05-16,2000.0,673060.0,0
2022-08-03,16190.0,5970684.94,0
2022-08-04,38660.0,14402686.679999998,0
2022-08-11,3000.0,1157340.0,0
2022-11-15,7500.0,2646642.12,0
2022-12-05,1055.0,369271.1,0
2023-02-10,400.0,145400.0,0
2023-02-13,3903.29,1434622.4704999998,0
2023-02-14,750.0,277098.9,0
2023-02-15,8250.0,2977905.9,0
2023-04-28,7429.0,2648478.83,0
2023-05-15,7500.0,2692232.08,0
2023-06-13,2221.0,857905.6699999999,0
2023-06-20,200.0,76886.0,0
2023-06-26,200.0,78138.0,0
2023-07-03,200.0,79674.0,0
2023-07-10,200.0,78798.0,0
2023-07-17,200.0,83342.0,0
2023-07-24,200.0,84880.0,0
2023-07-31,9857.0,3884278.27,0
2023-08-07,200.0,77518.0,0
2023-08-11,10000.0,3873775.25,0
2023-08-14,200.0,77612.0,0
2023-08-21,200.0,76400.0,0
2023-08-28,200.0,78026.0,0
2023-09-05,23602.0,9440245.0,0
2023-11-15,6000.0,2431669.56,0
2024-02-15,6000.0,2548468.36,0
2024-05-15,6000.0,2593202.98,0
2024-07-31,8543.019,4177001.456,0
2024-08-01,28751.0,14049218.92,0
2024-08-02,7000.0,3385209.5,0
2024-08-07,14458.0,6981604.279999999,0
2024-11-06,500.0,249660.0,0
2024-11-13,500.0,251925.0,0
2024-11-20,500.0,251800.0,0
2024-11-27,500.0,261500.0,0
2025-02-14,5521.0,3000032.38,0
2025-05-01,19173.0,9631628.77,0
2025-05-05,2499.868,1272787.62324,0
2025-08-06,1799.146,998526.03,0
2025-08-08,2000.0,1122240.0,0
