date,shares,amount,buy_flag
2004-02-26,133332.0,3157131.6,0
2004-03-10,8000.0,194000.0,0
2004-04-12,12000.0,302442.0,0
2004-05-19,88400.0,2157784.0,0
2004-05-20,11600.0,281300.0,0
2004-05-25,100000.0,2475000.0,0
2004-05-26,25000.0,625000.0,0
2004-06-10,75000.0,1892542.4999999998,0
2004-09-10,25593.0,550031.9595,0
2004-10-08,35529.0,792129.7137000001,0
2004-10-15,4000.0,88360.0,0
2004-11-17,478300.0,11639186.34,0
2004-11-18,8000.0,191903.0,0
2004-11-22,12000.0,289920.0,0
2004-11-23,145496.0,3530687.8,0
2004-11-24,30000.0,732708.0,0
2005-01-07,125000.0,3072533.0,0
2005-01-12,170000.0,4194660.4,0
2005-01-13,15000.0,372514.0,0
2005-01-14,94000.0,2340599.5,0
2005-03-03,26666.0,656516.92,0
2005-06-03,15000.0,344341.5,0
2005-11-16,5438.0,119799.14,0
2005-11-21,3900.0,87399.0,0
2006-01-11,4000.0,100692.0,0
2006-01-13,4000.0,100174.0,1
2006-02-23,35000.0,853272.0,0
2006-02-27,35000.0,866250.0,0
2006-04-13,12000.0,291000.0,0
2006-07-07,4000.0,92692.0,0
2006-09-08,906298.0,24220350.641499996,0
2006-09-11,270000.0,7340670.0,0
2006-09-12,333000.0,9204580.8,0
2006-10-10,5437.0,157435.4031,0
2006-10-11,5000.0,145506.5,0
2006-10-12,12000.0,347470.0,0
2006-12-01,50000.0,1368750.0,0
2006-12-04,80400.0,2219340.0,0
2006-12-05,109600.0,3017184.0,0
2006-12-06,3600.0,101016.0,0
2007-09-24,122937.0,3687946.89,0
2007-09-27,38106.0,1119554.28,0
2007-10-01,15000.0,433500.0,0
2007-10-09,15000.0,451800.0,0
2007-10-10,13097.0,384920.83,0
2007-10-11,37320.0,1156920.0,0
2007-10-23,8531.0,248337.41,0
2007-11-01,23281.0,669586.6,0
2007-11-14,60200.0,1799991.0,0
2007-12-12,10000.0,304300.0,0
2008-01-23,13200.0,407420.0,0
2008-01-29,13800.0,439530.0,0
2008-02-22,240105.0,7604023.65,0
2008-02-25,89450.0,2908182.5,0
2008-02-26,20550.0,677317.5,0
2008-03-03,100000.0,3192210.0,0
2008-03-05,73695.0,2468929.89,0
2008-03-20,13000.0,440050.0,0
2008-04-01,100000.0,3332900.0,0
2008-05-01,100000.0,3148000.0,0
2008-06-02,150000.0,4669500.0,0
2008-07-17,109000.0,3809550.0,0
2008-08-08,20000.0,723000.0,0
2008-08-11,82500.0,3048375.0000000005,0
2008-08-20,201974.0,7048566.76,0
2008-08-21,8683.0,300158.31999999995,0
2008-09-22,107200.0,3479589.9999999995,0
2008-10-15,5000.0,130742.99999999999,0
2008-10-17,4400.0,120157.84,0
2009-04-14,6000.0,162000.0,0
2009-05-20,36000.0,1048320.0,0
2009-05-27,41250.0,1235437.5,0
2009-06-08,20000.0,613763.0,0
2009-06-09,10000.0,309947.58,0
2009-06-10,100000.0,3046250.0,0
2009-06-25,41250.0,1317937.5,0
2009-07-15,2400.0,81600.0,0
2009-07-16,64168.0,2184793.4312,0
2009-08-20,11070.0,391084.28099999996,0
2009-08-21,41250.0,1484125.5,0
2009-08-25,27000.0,987858.6,0
2009-09-17,41250.0,1565437.5000000002,0
2009-10-13,10000.0,376788.0,0
