date,shares,amount,buy_flag
2003-07-25,110294.0,2441383.3200000003,0
2003-07-31,88900.0,1969134.9999999998,0
2003-08-12,1395.0,30231.600000000006,0
2003-09-09,1000000.0,16830000.0,0
2003-10-27,500.0,10795.0,1
2003-11-17,30000.0,689062.0,0
2003-11-25,86000.0,2069064.0,0
2003-12-01,59900.0,1438174.0,0
2003-12-02,10000.0,240300.0,0
2003-12-04,907.0,21377.99,0
2003-12-10,24300.0,557010.0,0
2003-12-11,100000.0,2308770.0,0
2003-12-12,1489885.0,35843576.5,0
2003-12-15,4093.0,99173.39,0
2003-12-16,1000000.0,12450000.0,0
2004-01-07,150000.0,922500.0,0
2004-02-09,37920.0,1062269.0,0
2004-03-10,250000.0,3247500.0,0
2004-04-20,400000.0,2600000.0,0
2004-04-22,15000.0,108750.0,0
2004-06-07,500.0,15000.0,1
2004-06-07,30000.0,887061.0,0
2004-06-08,18895.0,567076.75,0
2004-06-09,30443.0,904599.39,0
2004-06-10,12441.0,371612.67,0
2004-06-15,49300.0,1442417.0,0
2004-06-18,17459.0,508715.75,0
2004-08-17,500.0,12440.0,1
2004-11-12,48500.0,1453445.0,0
2005-03-10,1000.0,27650.0,1
2005-03-18,797.0,20857.49,1
2005-04-29,11660.0,285132.16000000003,0
2005-05-20,500.0,13625.0,1
2005-08-09,59094.0,1708341.2999999998,0
2005-08-10,58250.0,1703629.38,0
2005-09-15,10000.0,305700.0,0
2006-02-06,1000.0,34300.0,1
2006-02-17,15000.0,512490.0,0
2006-10-02,126165.0,4933264.2,0
2006-11-01,100000.0,4294910.0,0
2006-11-16,1600.0,69984.0,1
2006-11-16,373973.0,16369653.56,0
2006-11-17,424600.0,18627202.0,0
2006-11-20,180000.0,7871849.0,0
2006-11-21,60000.0,2645625.0,0
2006-11-22,60000.0,2658183.0,0
2006-12-01,450000.0,19613301.72,0
2006-12-04,510000.0,22454617.0,0
2006-12-05,110000.0,4887000.0,0
2006-12-06,10000.0,445300.0,0
2006-12-07,10000.0,453250.0,0
2006-12-14,10000.0,461500.0,0
2006-12-15,10000.0,457200.0,0
2006-12-18,2500.0,114075.0,0
2006-12-19,7002.0,315790.2,0
2007-01-03,533210.0,24128931.5,0
2007-01-04,265462.0,12075121.0,0
2007-01-05,185000.0,8393000.0,0
2007-01-08,156344.0,7030048.6,0
2007-01-09,10000.0,459000.0,0
2007-01-10,42997.0,2010290.25,0
2007-01-11,254160.0,12195466.25,0
2007-01-22,9596.0,468408.96,0
2007-02-01,10000.0,482912.0,0
2007-03-01,10000.0,444966.95,0
2007-03-15,16548.0,743549.6,0
2007-04-02,10000.0,463988.0,0
2007-04-24,1295.0,64750.0,0
2007-04-26,48705.0,2498566.5,0
2007-08-15,150000.0,7810969.0,0
2007-08-17,150000.0,7549671.1899999995,0
2007-08-22,129261.0,6587380.72,0
2007-08-24,136978.0,7194176.0,0
2007-08-27,70703.0,3750652.21,0
2007-08-28,50000.0,2602827.0,0
2007-08-29,50000.0,2650000.0,0
2007-08-30,65813.0,3524483.0,0
2007-08-31,78992.0,4326409.2,0
2007-09-04,241098.0,13117556.66,0
2007-09-05,45703.0,2491770.0,0
2007-09-06,53600.0,2939164.0,0
2007-09-07,25000.0,1364747.0,0
2007-09-10,1000.0,53550.0,1
2007-09-12,25000.0,1364980.0,0
2007-09-13,108000.0,6048000.0,0
2007-09-14,25000.0,1386122.0,0
2007-09-17,514800.0,28364582.270000003,0
2007-09-18,153000.0,8721287.0,0
2007-09-19,58000.0,3366836.0,0
2007-09-26,17500.0,1015646.0,0
2007-11-06,146000.0,8369109.7,0
2007-11-07,146000.0,8323673.0,0
2007-11-09,45183.0,2583473.64,0
2007-11-12,22000.0,1253452.0,0
2007-11-13,22000.0,1255506.0,0
2007-11-14,22000.0,1273330.0,0
2007-11-16,21456.0,1228866.16,0
2007-11-26,260100.0,14823031.68,0
2007-11-27,132600.0,7551651.5,0
2007-12-11,13000.0,770250.0,0
2008-01-08,40000.0,2274531.0,0
2008-01-10,40000.0,2199633.0,0
2008-02-11,17444.0,968216.0199999999,0
2008-02-13,15000.0,847188.0,0
2008-02-14,15000.0,862500.0,0
2008-02-19,70000.0,4032371.0,0
2008-02-26,44756.0,2595848.0,0
2008-04-01,54744.0,3193716.0,0
2008-05-23,7143.0,413512.35,0
2008-05-30,5000.0,295069.0,0
2008-06-05,3500.0,206675.0,0
2008-07-15,3944.0,218182.4,0
2008-07-31,208271.0,12552742.68,0
2008-08-05,136400.0,8155021.0,0
2008-08-06,146000.0,8754160.0,0
2008-08-11,16000.0,979680.0,0
2008-08-15,16000.0,999200.0,0
2008-08-18,20000.0,1230200.0,0
2008-10-27,2000.0,74701.6,1
2008-11-03,2000.0,82563.79999999999,0
2008-12-08,5800.0,202440.35,0
