date,shares,amount,buy_flag
2007-04-24,23154219.0,532547037.0,0
2007-12-20,69500.0,1390000.0,0
2007-12-24,10250.0,215250.0,0
2007-12-27,1000.0,20045.0,0
2008-04-03,10000.0,187809.0,0
2008-04-04,30000.0,568134.0,0
2008-04-07,63800.0,1216085.8599999999,0
2008-04-08,325000.0,6425899.599999999,0
2008-04-09,226000.0,4400355.600000001,0
2008-04-10,100000.0,1898040.0000000002,0
2008-04-14,68400.0,1299134.8800000001,0
2008-04-15,12650.0,239844.0,0
2008-04-16,100000.0,1903340.0,0
2008-04-17,91200.0,1732024.8,0
2008-04-18,250000.0,4838899.999999999,0
2008-04-21,191200.0,3716086.7199999997,0
2008-04-22,241900.0,4703866.45,0
2008-04-23,250000.0,4865950.0,0
2008-04-24,250000.0,4901950.000000001,0
2008-04-25,250000.0,4893299.999999999,0
2008-04-28,261900.0,5169644.1,0
2008-04-29,171700.0,3414485.0,0
2008-04-30,150000.0,2946390.0000000005,0
2008-05-01,150000.0,2934270.0000000005,0
2008-05-02,269700.0,5360629.8,0
2008-05-05,236100.0,4682808.959999999,0
2008-05-06,100000.0,1909910.0,0
2008-05-08,77600.0,1471885.76,0
2008-05-09,150000.0,2876430.0,0
2008-05-12,150000.0,2920560.0000000005,0
2008-05-13,150000.0,2952059.9999999995,0
2008-05-14,335500.0,6720017.0,0
2008-05-15,370200.0,7551599.159999998,0
2008-05-16,300000.0,6289590.0,0
2008-05-19,301500.0,6507270.0,0
2008-05-20,300000.0,6360899.999999999,0
2008-05-21,275000.0,5827030.0,0
2008-05-22,250000.0,5211200.0,0
2008-05-23,300000.0,6309479.999999999,0
2008-05-27,301500.0,6360720.0,0
2008-05-28,300000.0,6301350.000000001,0
2008-05-29,317110.0,6661316.164,0
2008-05-30,300000.0,6333840.0,0
2008-06-02,64740.0,1328229.516,0
2008-06-03,2500.0,52400.00000000001,0
2008-06-04,2000.0,40641.0,0
2008-06-05,100000.0,2096060.0,0
2008-06-06,100000.0,2096730.0000000005,0
2008-06-09,1500.0,30916.050000000003,0
2008-06-11,100.0,2000.0,0
2008-06-12,1900.0,38000.0,0
2008-06-13,35000.0,701099.0,0
2008-06-16,1500.0,30000.0,0
2008-06-18,2000.0,40380.0,0
2008-08-21,2000.0,43056.0,0
2008-11-20,1000.0,10950.0,1
2008-12-12,236931.0,3511483.2717,0
2009-03-26,100000.0,1798660.0,0
2009-04-01,2240.0,40230.4,0
2009-04-02,432000.0,8021457.0,0
2009-04-03,125000.0,2307500.0,0
2009-04-06,18200.0,327121.3399999999,0
2009-05-04,80600.0,1447576.0000000002,0
2009-05-05,6900.0,123924.0,0
2009-05-06,100000.0,1796000.0000000002,0
