date,shares,amount,buy_flag
2010-07-02,12164.0,206788.0,1
2010-07-02,1465931.0,24920827.0,0
2011-02-18,1000.0,23211.0,0
2011-03-07,300.0,7500.0,0
2011-03-08,221529.0,5473904.4120000005,0
2011-03-18,1000.0,23055.0,0
2011-03-31,13000.0,360219.436,0
2011-04-18,1000.0,25039.0,0
2011-04-25,12000.0,315636.0,0
2011-04-28,500.0,13612.0,0
2011-05-18,1000.0,26151.0,0
2011-05-25,12000.0,329353.413,0
2011-05-26,500.0,14775.0,0
2011-05-27,300.0,8739.0,0
2011-05-31,113634.0,3414820.0,0
2011-06-01,4000.0,120016.0,0
2011-06-03,96000.0,2899104.0,0
2011-06-08,2053475.0,59057941.0,1
2011-06-27,12000.0,334296.0,0
2011-07-20,5000.0,150000.0,0
2011-07-25,12000.0,344544.0,0
2011-08-25,12000.0,279696.0,0
2011-08-31,300.0,7500.0,0
2011-09-26,12000.0,304740.2,0
2011-10-10,5000.0,136105.0,0
2011-10-25,12000.0,340776.0,0
2011-10-28,6100.0,183000.0,0
2011-11-03,12533.0,375990.0,0
2011-11-15,10000.0,340000.0,0
2011-11-16,1595.0,55825.0,0
2011-11-23,10000.0,314910.0,0
2011-11-25,17000.0,538244.6,0
2011-11-29,600.0,19494.0,0
2011-12-05,1500.0,52500.0,0
2011-12-07,13000.0,444821.0,0
2011-12-27,12000.0,339672.0,0
2012-01-03,5000.0,144200.0,0
2012-01-25,12000.0,328164.0,0
2012-02-02,18333.0,550135.0,0
2012-02-21,600.0,20922.0,0
2012-02-27,17000.0,572339.0,0
2012-03-09,101342.0,3547785.256,0
2012-03-12,276129.0,9871388.544,0
2012-03-13,150100.0,5399911.0,0
2012-03-14,119500.0,4218947.5,0
2012-03-15,56200.0,1974081.2,0
2012-03-16,106100.0,3751908.2,0
2012-03-19,113181.0,3965522.6969999997,0
2012-03-20,66619.0,2332331.19,0
2012-03-26,22000.0,793906.24,0
2012-03-28,4166.0,158099.7,0
2012-05-10,10000.0,345000.0,0
2012-05-14,29788.0,911631.9519999999,0
2012-05-29,600.0,18006.0,0
2012-07-16,10300.0,355500.0,0
2012-08-27,300.0,8871.0,0
2012-09-14,300.0,9000.0,0
2012-10-03,35398.0,999993.5,1
2012-11-30,600.0,20166.0,0
2012-12-03,10300.0,355500.0,0
2012-12-06,14000.0,476055.99999999994,0
2012-12-07,1000.0,34300.0,0
2013-01-02,10000.0,350210.0,0
2013-01-10,46526.0,1562687.3724000002,0
2013-01-18,2908.0,100262.024,0
2013-02-07,5000.0,197500.0,0
2013-02-08,3846.0,151790.082,0
2013-03-11,7000.0,273000.0,0
2013-04-01,26485.0,1129816.905,0
2013-04-22,5000.0,250000.0,0
2013-05-13,900.0,72558.0,0
2013-05-17,292694.0,26720715.871999998,0
2013-05-20,640040.0,58109231.6,0
2013-05-23,3500.0,315000.0,0
2013-05-28,21500.0,2245355.0,0
2013-05-30,1084129.0,100000058.96,1
2013-07-03,4244.0,497409.532,0
2013-08-14,2084.0,294231.2072,0
2013-08-23,10000.0,1583077.0,0
2013-08-29,60052.0,9845999.68,0
2013-11-08,15000.0,1999215.0,0
2013-11-13,78942.0,11077225.962000001,0
2014-04-17,10000.0,1968259.2680000002,0
2014-04-28,21000.0,4200000.0,0
2014-05-01,4811.0,993128.6680000001,0
2014-05-15,10000.0,1876841.35,0
2014-05-16,10000.0,1901504.51,0
2014-05-19,10000.0,1952346.0,0
2014-05-20,10000.0,1963412.0,0
2014-05-21,10000.0,1980323.0,0
2014-05-22,10000.0,2047979.0,0
2014-05-23,10000.0,2052470.0,0
2014-05-27,10000.0,2117128.0,0
2014-05-28,10000.0,2092625.0,0
2014-05-29,10000.0,2099134.35,0
2014-05-30,10000.0,2102565.0,0
2014-06-02,10000.0,2044708.0,0
2014-06-03,5000.0,1023847.42,0
2014-08-04,4287.0,1005108.5850000001,0
2014-09-02,53606.0,15036360.13,0
2014-11-06,4329.0,1048879.58,0
2015-02-09,4600.0,987347.18,0
2015-02-18,5882.0,1208086.334,0
2015-03-02,5000.0,988074.8549999999,0
2015-04-15,1500.0,311190.0,0
2015-05-01,6401.0,1429437.279,0
2015-05-11,23250.0,5590009.8467999995,0
2015-05-15,11500.0,2843105.1699999995,0
2015-06-15,11500.0,2862694.6270000003,0
2015-07-15,11500.0,3040123.211,0
2015-08-03,6800.0,1796899.7399999998,0
2015-08-14,10000.0,2440697.772,0
2015-08-18,21698.0,5552553.214,0
2015-08-19,82645.0,20000090.0,1
2015-09-15,10000.0,2525554.454,0
2015-10-15,10000.0,2184435.68,0
2015-11-02,6800.0,1450129.4100000001,0
2015-11-06,12709.0,2943353.5640000002,0
2015-11-16,10000.0,2124737.009,0
2015-12-04,5000.0,1147446.041,0
2015-12-15,5000.0,1102532.485,0
2016-03-15,1000.0,215246.5,0
2016-03-18,11997.0,2791821.87,0
2016-04-26,1000.0,253134.0,0
2016-05-02,5555.0,1324007.013,0
2016-05-12,5333.0,1109957.29,0
2016-05-13,10000.0,2075550.0,0
2016-05-25,2782670.0,593320897.4,0
2016-06-07,1000.0,230916.0,0
2016-06-13,460.0,103211.12000000001,0
2016-11-01,2779.0,549135.86,0
2016-11-22,33430.0,6379088.34,0
2016-12-14,56.0,11323.199999999999,0
2017-01-03,2500.0,532243.5,0
2017-01-10,1000.0,228613.0,0
2017-01-25,5600.0,1424455.486,0
2017-02-01,2500.0,630987.5,0
2017-02-06,5600.0,1424876.7999999998,0
2017-02-23,500.0,129175.9,0
2017-02-24,5466.0,1399008.05,0
2017-03-01,2500.0,634834.0,0
2017-03-17,95420.0,25000040.0,1
2017-04-03,2500.0,715712.375,0
2017-04-07,500.0,150726.0,0
2017-04-11,2191.0,683838.519,0
2017-05-01,2500.0,789181.5,0
2017-05-08,126000.0,38824027.617,0
2017-05-09,3100.0,993365.9859999999,0
2017-06-01,4691.0,1608172.435,0
2017-07-03,4690.0,1724402.686,0
2017-08-01,2190.0,703780.737,0
2017-08-22,44777.0,15240400.173,0
2017-09-01,2190.0,777886.98,0
2017-09-05,99.0,34661.385,0
2017-10-02,2190.0,748310.51,0
2017-10-24,1736.0,589354.64,0
2017-11-01,2190.0,723340.635,0
2017-11-02,600.0,180961.8,0
2017-11-10,1736.0,524810.16,0
2017-11-27,1736.0,543802.0,0
2017-12-07,1229.0,384197.69,0
2017-12-13,1400.0,476944.10000000003,0
2018-01-02,4065.0,1268611.41,0
2018-01-09,1000.0,334874.2,0
2018-01-24,801.0,284018.58,0
2018-02-15,1000.0,330056.0,0
2018-02-26,401.0,141753.5,0
2018-03-07,452.0,147098.88,0
2018-03-16,1000.0,321408.0,0
2018-04-05,1875.0,562500.0,0
2018-05-07,33000.0,9850509.139999999,1
2018-06-12,55000.0,18875417.992,1
2018-06-13,17500.0,6048506.283,1
2018-06-15,3000.0,1077796.757,0
2018-07-02,1875.0,671735.575,0
2018-10-01,2875.0,879750.0,0
2018-10-29,29844.0,9997261.094999999,1
2018-11-01,1000.0,338260.0,0
2018-11-07,15000.0,5226540.1,0
2018-11-14,3000.0,1022052.0000000001,0
2018-11-15,3500.0,1202094.5,0
2018-12-03,1000.0,360280.0,0
2018-12-20,8390.0,2682006.3,0
2018-12-21,8390.0,2664460.3,0
2018-12-28,15000.0,4884593.856000001,0
2019-01-02,1000.0,306100.0,0
2019-01-07,1700.0,546720.0,0
2019-01-16,8390.0,2926742.3,0
2019-01-17,8390.0,2916422.38,0
2019-01-28,15000.0,4404945.2,0
2019-02-01,1000.0,305420.0,0
2019-02-05,1700.0,544000.0,0
2019-02-13,8390.0,2583420.9760000003,0
2019-02-14,27661.0,8408839.705,0
2019-02-28,15000.0,4754191.394,0
2019-03-01,1000.0,306750.0,0
2019-03-12,8390.0,2378195.4899999998,0
2019-03-13,8390.0,2411755.9200000004,0
2019-03-14,19271.0,5635803.95,0
2019-03-26,15000.0,4012455.5000000005,0
2019-04-09,1300.0,356484.7,0
2019-04-10,15480.0,4273520.036,0
2019-04-26,15000.0,3586274.4,0
2019-05-02,102880.0,24999840.0,1
2019-05-16,38540.0,8801471.583999999,0
2019-05-28,15000.0,2848338.7130000005,0
2019-06-03,33766.0,6089689.727,0
2019-06-28,15000.0,3352630.2260000003,0
2019-07-17,150.0,38352.0,0
2019-07-29,15000.0,3456731.795,0
2019-07-29,1000.0,232720.0,1
2019-08-14,360.0,79815.6,1
2019-08-19,150.0,33600.0,0
2019-09-17,150.0,36370.5,0
2019-10-17,150.0,39300.0,0
2019-10-25,8000.0,2440000.0,0
2019-10-30,2366.0,741158.66,0
2019-11-01,2000.0,632640.0,0
2019-11-12,64190.0,22470043.255000003,0
2019-11-13,547.0,192287.956,0
2019-11-18,150.0,52848.0,0
2019-11-22,17223.0,5725683.012,0
2019-12-02,2000.0,658800.0,0
2019-12-17,150.0,56848.5,0
2020-01-02,2000.0,854935.4,0
2020-01-17,150.0,76141.5,0
2020-02-03,1500.0,1069085.8,0
2020-02-14,14287.0,10958129.0,1
2020-02-18,150.0,126333.0,0
2020-02-20,81152.0,72437382.162,0
2020-02-21,1934.0,1744914.754,0
2020-03-17,150.0,66001.5,0
2020-04-13,300.0,187089.0,0
2020-04-17,150.0,115938.0,0
2020-04-30,2275.0,1945125.0,0
2020-05-06,2000.0,1571496.0,0
2020-05-11,700.0,565602.0,0
2020-05-18,150.0,124050.0,0
2020-06-01,11823.0,10416947.4,0
2020-06-08,500.0,474880.0,0
