date,shares,amount,buy_flag
2003-07-25,30370.0,713668.42,0
2003-07-29,61494.0,1475856.0,0
2003-10-22,1700000.0,37309100.0,1
2003-10-23,2000000.0,44572100.0,1
2003-10-24,1300000.0,29378100.0,1
2003-10-31,278.0,6624.74,0
2004-04-22,1000000.0,25358815.892,1
2004-04-27,500000.0,12722339.3,1
2004-04-28,76534.0,1952382.34,0
2004-04-30,38644.0,970100.0,0
2004-05-28,0.998,23.87216,0
2004-07-26,91542.0,2259293.8200000003,0
2004-07-27,715.0,18139.55,0
2004-11-12,138121.0,3641552.63,0
2004-11-29,0.9752,24.701815999999997,0
2005-02-01,2256.0,54053.76,0
2005-04-28,9278.0,215249.6,0
2005-04-29,8772.0,207896.40000000002,0
2005-05-02,2924.0,70176.0,0
2005-07-25,66136.0,1586104.0,0
2005-07-26,505938.0,12144478.080000002,0
2005-10-21,2300.0,53123.100000000006,0
2005-11-22,251103.0,6231992.7828,0
2005-11-23,210467.0,5213684.086,0
2006-02-01,10000.0,261500.0,0
2006-02-02,325.0,8693.75,0
2006-03-07,18000.0,475740.0,1
2006-03-08,28870.0,772272.5,0
2006-03-08,19000.0,505174.17,1
2006-05-01,2000.0,52580.0,1
2006-05-01,59572.0,1569831.48,0
2006-05-04,20000.0,522402.0,0
2006-05-23,2000.0,50700.0,0
2006-07-19,66.0,1812.5712,0
2006-07-26,690325.0,20064852.85,0
2006-10-24,195142.0,6779963.74,0
2006-11-06,17196.0,585805.88,0
2007-01-26,132928.0,4815645.36,0
2007-01-29,243515.0,8934678.370000001,0
2007-01-30,11730.0,433275.19999999995,0
2007-01-31,16260.0,614519.8,0
2007-02-23,24000.0,888000.0,0
2007-04-27,2247.0,86801.61,0
2007-04-30,1046457.0,40558684.25,0
2007-07-25,26952.0,1080033.1400000001,0
2007-08-02,32751.0,1326669.49,0
2007-10-30,16854.0,700928.8600000001,0
2007-10-31,1124.0,46612.28,0
2008-01-25,63000.0,2274300.0,1
2008-02-05,10000.0,370000.0,1
2008-04-23,3360.0,127646.40000000001,0
2008-04-28,2848.0,109818.88,0
2009-02-18,4000.0,91200.0,1
2009-05-13,6200.0,156302.0,1
2009-05-20,30000.0,731787.0,1
2009-05-26,0.576,14.0977152,0
2009-08-19,10000.0,254050.0,1
2010-02-02,30000.0,772209.0,0
2011-04-27,31648.0,987026.6300000001,0
2011-04-28,3402.024,106517.37143999999,0
2011-05-23,2300.0,71398.9,0
2012-01-27,66279.0,1949934.8079000001,0
2012-01-31,79425.0,2342587.4964,0
2012-02-01,70743.0,2108477.4579000003,0
2012-02-02,31423.0,936056.6047,0
2012-02-03,254367.0,7617177.603800001,0
2012-02-07,15000.0,449850.0,0
2012-02-09,47203.0,1411492.4278,0
2012-04-25,2496.0,79647.36,0
2012-04-30,188145.0,6134542.983000001,0
2012-07-27,2075.0,77110.4,0
2012-07-30,55000.0,2058650.0,1
2012-11-19,40000.0,1354000.0,1
2013-01-29,82976.0,0.0,0
2013-04-29,9432.0,351342.0,0
2013-05-02,1342.0,50425.5158,0
2013-05-07,2142.0,80153.8542,0
2013-07-30,9000.0,318958.2,1
2013-10-24,1000.0,34740.0,1
2013-11-01,18175.0,658843.9,0
2014-07-25,100000.0,3564270.0,1
2014-07-28,10000.0,355900.00000000006,1
2014-07-29,6794.0,248848.3769,0
2014-07-30,1000.0,36260.0,1
2014-07-30,12217.0,443276.7896,0
2014-08-07,30000.0,1039497.0000000001,1
2015-02-06,6000.0,209879.99999999997,1
2015-07-27,2595.0,89346.6906,0
2015-08-03,10000.0,346475.99999999994,1
2015-08-06,21950.0,749579.33,1
2015-08-24,10000.0,329264.95,1
2016-07-22,2131.0,92450.5494,0
2016-10-25,27129.0,1001196.48,1
2017-04-26,37137.0,1501356.11,1
2017-07-27,25471.0,999673.7,1
2017-10-25,59415.0,1998126.0699999998,1
2018-02-01,2307.0,90464.33499999999,0
2018-02-05,2600.0,99059.22,1
2018-02-09,27997.0,998838.2383,1
2018-07-25,84490.0,2569796.0,1
2018-07-26,97850.0,2984387.8049999997,1
2018-07-27,74929.0,2326284.97,1
2018-08-08,7690.0,249792.40849999996,1
2018-10-26,4000.0,116552.8,1
2019-01-31,3748.0,111840.32,0
2019-02-04,33558.0,999535.0974,1
2019-02-05,7000.0,207134.9,1
2019-07-30,4024.0,137420.429,0
2020-02-04,100000.0,3760380.0,1
2020-04-22,36000.0,1057579.2,1
2020-04-24,6754.0,198466.29,1
2020-07-23,100000.0,2969220.0,1
2021-05-18,100000.0,2980270.0,1
2021-05-19,37670.0,1086024.9008,1
2021-05-20,16920.0,500830.91500000004,1
2021-11-08,100000.0,2504000.0,1
2023-11-13,62500.0,971875.0,1
2025-05-28,1500.0,41347.5,0
