date,shares,amount,buy_flag
2019-11-06,10680758.0,286462243.37,0
2019-11-07,7547652.0,204616845.72,0
2019-11-08,35000.0,952000.0,1
2019-11-08,2051624.0,56214497.599999994,0
2019-11-11,2617168.0,70441092.9,0
2019-11-12,2227299.0,60611951.77,0
2019-11-13,1582310.0,42030076.7,0
2019-11-14,808399.0,21218448.72,0
2019-11-15,3670440.0,97670408.39999999,0
2019-11-16,3887.0,103375.54239999999,0
2019-11-18,250000.0,6687500.0,1
2019-11-18,2371290.0,63474433.3,0
2019-11-19,2730452.0,73829235.73,0
2019-11-20,10623684.0,295930739.517,0
2019-11-21,7112614.0,208502723.103,0
2019-11-22,3636580.0,108214023.0801,0
2019-11-25,2152110.0,62866218.894,0
2019-11-26,3020286.0,90036647.0042,0
2019-11-27,2076485.0,61057602.479499996,0
2019-11-29,786454.0,23287846.6848,0
2019-12-02,482871.0,14049614.616,0
2019-12-03,1808679.0,52455916.5797,0
2019-12-04,1494570.0,43435043.883,0
2019-12-05,961974.0,27547183.661399998,0
2019-12-06,814008.0,23217054.7752,0
2019-12-09,518471.0,14575049.363599999,0
2019-12-10,896288.0,24962028.4672,0
2019-12-11,2448782.0,69438544.71239999,0
2019-12-12,2273899.0,65075158.2285,0
2019-12-13,1436849.0,41159689.0842,0
2019-12-16,7868913.0,235708363.41979998,0
2019-12-17,1260556.0,37587633.0344,0
2019-12-18,4021491.0,120670293.1208,0
2019-12-19,2557028.0,76738528.822,0
2019-12-20,5833401.0,177751972.9146,0
2020-01-03,10000.0,305647.0,0
2020-01-07,170000.0,5494405.869299999,0
2020-01-08,170000.0,5709073.512399999,0
2020-01-09,170000.0,5740214.62,0
2020-01-14,30000.0,1050021.0,0
2020-01-21,170000.0,6283574.514,0
2020-01-22,170000.0,6341714.0,0
2020-01-23,170000.0,6364152.653,0
2020-02-04,190000.0,7337553.1654,0
2020-02-05,170000.0,6357736.0795,0
2020-02-06,170000.0,6295439.999999999,0
2020-02-07,40000.0,1600580.0,0
2020-02-18,170000.0,6775418.000000001,0
2020-02-19,170000.0,6939814.628399999,0
2020-02-20,170000.0,6908533.791900001,0
2020-03-10,170000.0,4808374.829500001,0
2020-03-11,170000.0,4552275.2488,0
2020-03-12,170000.0,3951391.7206,0
2020-03-24,170000.0,4296768.0365,0
2020-03-25,170000.0,4550576.0691,0
2020-03-26,170000.0,4695881.3762,0
2020-04-07,170000.0,4516174.636,0
2020-04-08,170000.0,4571654.6132,0
2020-04-09,170000.0,4691854.6868,0
2020-04-21,170000.0,4645964.5025,0
2020-04-22,170000.0,4770111.08,0
2020-04-23,170000.0,4873883.0,0
2020-05-05,170000.0,4815225.73,0
2020-05-06,170000.0,4679044.7147,0
2020-05-07,170000.0,5192339.0241,0
2020-05-21,150000.0,5156580.0,0
2020-05-22,50000.0,1725795.0,0
2020-05-26,50000.0,1753034.5802999998,0
2020-05-27,50409.0,1741212.5553,0
2020-06-15,15740.0,497399.74,1
2020-06-30,2000.0,61420.0,0
2020-07-31,2000.0,60800.0,0
2020-08-31,2000.0,67232.0,0
2020-09-30,2000.0,72187.04959999998,0
2020-10-30,2000.0,67820.0,0
2020-11-30,2000.0,100440.0,0
2020-12-17,25000.0,1263880.0,0
2021-01-07,38000000.0,2031480000.0,0
2021-01-08,100000.0,5351753.146,0
2021-01-11,15082.0,829510.0,0
2021-01-12,84918.0,4707352.9038,0
2021-01-15,40000.0,2271577.7223,0
2021-02-12,20756.0,1247850.72,0
2021-04-05,6500.0,372530.32,0
2021-07-02,6500.0,328315.0,0
2021-11-15,200000.0,8984540.0,1
2022-03-08,38.0,1180.204,1
2022-03-11,124.0,3873.7599999999998,1
2022-04-25,16.0,516.352,1
2022-04-28,543.0,16979.61,1
2022-05-04,154.0,4185.412,1
2022-05-05,121.0,3383.886,1
2022-05-06,200000.0,5345520.0,1
2022-05-13,177.0,4271.541,1
2022-06-08,63.0,1646.1270000000002,1
2022-06-09,566.0,14642.42,1
2022-06-14,333.0,7103.223,1
2022-06-21,250000.0,5145000.0,1
2022-08-04,87841.0,2745863.62,0
2022-08-05,46875.0,1500468.75,0
2022-09-14,4167.0,133344.0,0
2022-11-11,50000.0,1500500.0,0
2022-11-15,63100.0,1957362.0,0
2023-02-02,4167.0,135594.18,0
2023-03-15,4167.0,133344.0,0
2023-05-08,12501.0,473162.85000000003,0
2023-06-09,644.0,26404.0,0
2023-06-13,8334.0,347944.5,0
2023-06-15,31664.0,1332700.5,0
