date,shares,amount,buy_flag
2003-11-25,25000.0,1345750.0,0
2003-12-03,22480.0,1236401.8,0
2003-12-17,176700.0,9718500.0,0
2003-12-19,213760.0,11986601.6,0
2003-12-31,85000.0,4959350.5,0
2004-01-02,28000.0,1653400.0,0
2004-01-22,32000.0,1920000.0,0
2004-02-17,153332.0,9247759.583999999,0
2004-02-18,500000.0,30000000.0,0
2004-03-01,64000.0,3967699.2,0
2004-03-16,32000.0,2000000.0,0
2004-04-01,48333.0,3131028.55,0
2004-04-02,32000.0,2081600.0,0
2004-05-03,16333.0,1004479.5,0
2004-05-14,28000.0,1758100.4,0
2004-05-25,25000.0,1588000.0,0
2004-06-01,41334.0,2701127.0,0
2004-06-02,14000.0,911680.0000000001,0
2004-07-01,16333.0,1001212.9,0
2004-08-02,48333.0,3004361.8499999996,0
2004-08-10,25000.0,1565860.0,0
2004-08-12,25000.0,1600750.0,0
2004-08-13,20000.0,1298072.0,0
2004-09-01,16334.0,1077717.32,0
2004-09-15,32000.0,2240000.0,0
2004-09-22,100000.0,7048974.0,0
2004-10-07,32000.0,2400000.0,0
2004-11-23,33000.0,2715693.0,0
2004-11-24,80044.0,6578150.28,0
2004-11-30,2454000.0,197792399.99999997,0
2005-01-05,12800.0,1097600.0,0
2005-01-24,39000.0,3478020.0000000005,0
2005-01-27,15000.0,1308125.0,0
2005-02-01,16000.0,1423200.0,0
2005-02-02,107544.0,9666729.2,0
2005-02-03,223624.0,20154583.3104,0
2005-02-07,61000.0,5432832.0,0
2005-02-24,50000.0,4441110.0,0
2005-03-01,16000.0,1451040.0,0
2005-03-03,12800.0,1171840.0,0
2005-04-01,16000.0,1532000.0,0
2005-04-06,12800.0,1253504.0,0
2005-04-29,140000.0,13028330.0,0
2005-05-02,16000.0,1504960.0,0
2005-05-04,12800.0,1244800.0,0
2005-05-20,64000.0,6176179.199999999,0
2005-07-28,32000.0,1696905.6,0
2005-08-08,173200.0,8864809.0,0
2005-09-06,150024.0,7951272.0,0
2006-01-03,12800.0,783097.6,0
2006-01-13,32000.0,1958080.0,0
2006-01-17,32000.0,1926400.0,0
2006-02-23,2300000.0,135930000.0,0
2006-04-07,32000.0,1748800.0,0
2006-04-10,32000.0,1715200.0,0
2007-04-20,176000.0,9279612.2,0
2007-04-27,1040.0,55355.6,1
2007-05-01,87400.0,4593919.3,0
2007-05-30,75000.0,4095099.5700000003,0
2007-11-09,65000.0,3361105.6199999996,0
2007-11-13,35600.0,1883300.0,0
2007-11-20,25000.0,1344632.9600000002,0
2007-12-10,35000.0,2014591.0,0
2007-12-11,58800.0,3394370.75,0
2007-12-12,80200.0,4629671.24,0
2008-01-28,6000.0,300060.0,0
2008-04-28,3000.0,101025.0,1
