date,shares,amount,buy_flag
2004-02-10,105304.0,3920467.9199999995,0
2004-03-02,37553.0,1483343.5,0
2004-05-04,23824.0,898104.76,0
2004-05-11,696.0,25139.519999999997,0
2004-05-17,150.0,5395.5,1
2004-07-09,11511.0,408985.83,0
2004-07-28,52720.0,2013656.85,0
2004-07-30,4228.0,162735.72,0
2004-08-03,12314.0,486856.98,0
2004-09-02,95999.0,3839960.0,0
2005-05-17,86895368.0,9.738269045465827e+16,1
2005-07-08,10204.0,349793.12,0
2005-07-27,13656.0,467991.12000000005,0
2005-08-05,4000.0,133320.0,0
2005-11-18,2934.0,94474.8,0
2006-02-10,2934.0,96822.0,0
2006-02-13,39310.0,1296040.8399999999,0
2006-02-15,4472.0,152048.0,0
2006-05-03,24415.0,796905.6,0
2006-05-05,26000.0,856439.9999999999,0
2006-07-31,28568.0,971312.0,0
2006-08-03,7000.0,234359.99999999997,0
2006-08-28,24264.0,849240.0,0
2006-09-06,2445.0,87139.8,0
2006-10-02,285464.0,10624646.879999999,0
2006-10-31,108.0,3947.6000000000004,0
2006-11-21,13732.0,484327.64,0
2006-12-11,886.0,31674.5,0
2007-01-03,13189.0,503424.13,0
2007-01-30,32705.0,1264048.25,0
2007-02-05,2000.0,76180.0,1
2007-02-15,96151.0,3706621.05,0
2007-03-12,1275791.0,18498969.5,0
2007-03-21,8522.0,319148.9,0
2007-05-10,5808.0,238883.04,0
2007-05-15,262641.0,11088703.02,0
2007-07-31,92966.0,4011612.2,0
2007-08-01,3879.0,166021.2,0
2007-08-02,23104.0,997839.3200000001,0
2007-08-08,1293.0,55327.47,0
2007-10-01,264960.0,11923200.0,0
2007-10-02,15000.0,682500.0,0
2007-10-11,243096.0,11182416.0,0
2007-10-31,21423.0,985458.0,0
2007-12-07,50268.0,2259805.35,0
2007-12-10,57589.0,2616991.5999999996,0
2007-12-26,85690.0,3851765.5000000005,0
2008-02-06,1000.0,36920.0,1
2008-02-08,100.0,3600.0,1
2008-04-29,20000.0,760000.0,1
2008-11-10,1600.0,48544.0,1
2008-11-18,5000.0,139500.0,1
2008-11-20,2500.0,66250.0,1
2009-02-05,2000.0,62160.0,1
2009-05-06,16700.0,510337.0,1
2009-07-31,6100.0,195744.0,1
2009-11-06,17000.0,502860.0,1
2010-01-28,15000.0,438835.4,1
2010-02-03,2500.0,73125.0,1
2010-02-04,5000.0,143950.0,1
2010-04-28,3500.0,101920.0,1
2010-07-26,12000.0,339232.0,1
2011-04-04,750981.0,14268639.0,1
2011-04-05,671729.0,12762851.0,1
2011-04-06,4854482.0,92235158.0,1
2011-04-07,12418163.0,235945097.0,1
2011-04-29,14388.0,543578.64,0
2011-12-23,63077.0,2491541.5,0
2011-12-30,10000.0,401000.0,0
2012-04-26,45337.0,1813480.0,0
2012-05-31,81698.0,3410891.5,0
2012-06-08,45337.0,1904154.0,0
2012-10-19,22729.0,1028082.7999999999,0
2012-11-21,13263.0,567789.03,0
2013-01-25,5465.0,232262.5,0
2013-11-11,7798.0,389120.2,0
2013-11-14,15600.0,785460.0,0
2013-11-18,5646.0,276936.30000000005,0
2014-01-22,2823.0,134007.81,0
2014-02-24,2823.0,132850.38,0
2014-02-25,8048.0,372702.88,0
2014-03-24,2823.0,131834.1,0
2014-04-25,2822.0,130094.2,0
2014-05-23,2965.0,146530.30000000002,0
2014-06-23,2966.0,146490.74,0
2014-07-23,2966.0,151266.0,0
2014-08-22,2966.0,145096.72,0
2014-09-22,2791.0,139829.1,0
2014-10-22,2790.0,135621.9,0
2015-02-12,24898.0,1237430.6,0
2015-02-17,2708.0,132746.16,0
2015-04-29,24945.0,1258475.25,0
2015-05-01,2708.0,137403.92,0
2015-08-07,8229.0,380673.54,0
2016-02-24,800.0,40600.0,1
2016-02-26,672.0,34359.36,0
2016-03-28,672.0,35999.04,0
2016-04-26,672.0,34272.0,0
2016-05-26,672.0,33465.6,0
2016-06-24,672.0,36664.32,0
2016-07-27,672.0,36832.32,0
2016-08-26,672.0,35454.72,0
2016-09-26,672.0,35212.799999999996,0
2016-10-26,672.0,32094.719999999998,0
2016-11-22,668.0,32925.72,0
2017-02-14,12495.0,603133.65,0
2017-02-23,10804.0,543385.039,0
2017-02-27,32864.0,1640918.58,0
2017-03-27,610.0,30292.6,0
2017-04-27,610.0,28889.6,0
2017-05-01,16362.0,753960.96,0
2017-05-30,610.0,27657.4,0
2017-06-27,610.0,27450.0,0
2017-07-28,610.0,29121.4,0
2017-08-28,610.0,29676.5,0
2017-09-27,610.0,30030.3,0
2017-10-27,610.0,29658.199999999997,0
2017-11-27,610.0,28920.1,0
2018-02-13,6967.0,346956.6,0
2018-05-01,1974.0,97594.56,0
2019-02-26,285988.0,16221239.36,0
2019-03-04,1349.0,77054.87999999999,0
2019-03-26,1349.0,81344.7,0
2019-04-26,1349.0,75624.94,0
2019-05-01,6134.0,350312.74,0
2019-05-28,1349.0,79860.8,0
2019-06-26,1349.0,78444.34999999999,0
2019-07-31,1349.0,76285.95,0
2019-08-26,1349.0,75557.48999999999,0
