date,shares,amount,buy_flag
2008-03-25,474609.0,20882796.0,1
2008-04-30,2000.0,166875.24,1
2008-10-24,1400.0,61600.0,1
2008-10-27,1400.0,65660.0,0
2008-12-02,4000.0,192000.0,1
2008-12-03,10175.0,513462.0424999999,1
2008-12-05,9800.0,480200.0,1
2009-05-01,3682.0,241539.19999999998,0
2009-05-05,6000.0,406855.0,1
2009-11-05,15000.0,1186578.0,0
2009-12-17,2958.0,255896.58000000002,0
2010-02-12,31599.0,2662215.75,0
2010-09-01,65000.0,4556448.0,0
2011-09-14,15249.0,1372410.0,0
2011-09-19,12420.0,1114943.4,0
2011-10-12,64499.0,5881018.82,0
2011-10-28,15250.0,1448750.0,0
2011-11-14,4700.0,441800.0,0
2011-11-28,16413.0,1532153.5499999998,0
2011-12-01,15250.0,1486875.0,0
2011-12-02,1363.0,132333.67,0
2011-12-20,27671.0,2771819.5999999996,0
2012-01-03,45383.0,4651757.5,0
2012-01-04,6617.0,681286.32,0
2012-02-01,20000.0,2040600.0,0
2012-02-10,77484.0,8776612.68,0
2012-03-22,12420.0,1452394.8,0
2012-03-30,115000.0,13593000.0,0
2012-05-04,3500.0,413700.0,0
2012-05-15,115000.0,13464200.0,0
2012-05-18,280984.0,31983044.560000002,0
2012-05-22,50000.0,5900000.0,0
2012-05-24,27000.0,3216780.0,0
2012-06-15,85000.0,10030000.0,0
2012-06-21,12420.0,1499839.2,0
2012-07-02,16949.0,2118625.0,0
2012-07-03,14400.0,1820016.0,0
2012-07-09,264959.0,32566110.689999998,0
2012-07-13,69855.0,8650613.2,0
2012-07-16,131949.0,16890020.0,0
2012-08-06,14400.0,1883520.0000000002,0
2012-09-06,14401.0,1851248.5500000003,0
2012-09-07,264959.0,34269797.06,0
2012-09-10,93711.0,12086844.78,0
2012-09-19,11500.0,1553420.0000000002,0
2012-09-20,12420.0,1666515.6,0
2012-09-21,1300.0,176241.0,0
2012-10-15,18800.0,2622412.0,0
2012-11-06,11686.0,1679878.2,0
2012-11-28,2000.0,294040.0,0
2012-11-29,15000.0,2220300.0,0
2012-11-30,31874.0,4755942.82,0
2012-12-03,62976.0,9429178.15,0
2012-12-04,18212.0,2697653.95,0
2012-12-06,4850.0,721243.5,0
2012-12-10,1800.0,267678.0,0
2012-12-11,163297.0,24403259.46,0
2012-12-12,11301.0,1684797.33,0
2012-12-17,333407.0,49414251.470000006,0
2013-01-02,15000.0,2322150.0,0
2013-02-14,23906.0,3724554.8000000003,0
2013-03-08,600.0,96438.0,0
2013-05-09,1000.0,179100.0,0
2013-06-10,9537.0,1721809.98,0
2013-07-11,25432.0,4795457.92,0
2013-08-06,23133.0,4255315.35,0
2013-08-26,17562.0,3109000.86,0
2013-10-01,9537.0,1820327.19,0
2013-10-18,8500.0,1681385.0,0
2013-11-04,63748.0,12588317.56,0
2013-11-08,1353.0,267285.15,0
2013-11-19,11766.0,2330609.2800000003,0
2013-11-20,7648.0,1524781.76,0
2013-12-02,4405.0,907077.6,0
2013-12-10,10000.0,1999000.0,0
2013-12-11,30600.0,6189462.0,0
2014-01-02,7163.0,1586604.5,0
2014-02-14,6948.0,1564481.16,0
2014-02-18,6159.0,1391256.51,0
2014-03-17,1575.0,350752.5,1
2014-05-08,79518.0,16698780.0,0
2014-06-16,7304.0,1540267.52,0
2014-09-03,14545.0,3128193.15,0
2014-11-11,25432.0,6336891.4399999995,0
2015-02-02,3438.0,879749.82,0
2015-02-09,7966.0,2130188.06,0
2015-03-02,4785.0,1325445.0,0
2015-12-16,60930.0,4842107.1,0
2016-02-10,39348.0,2754360.0,0
2016-03-03,18736.0,1384028.32,0
2016-10-28,772912.0,63883109.080000006,0
2016-11-08,18500.0,1534090.3,0
2017-02-06,129831.0,11132430.5885,0
2017-02-07,6680.0,574480.0,0
2017-04-25,31260.0,2874044.4,0
2017-07-27,29772.0,3004316.3375999997,0
2017-08-17,10400.0,1074528.0,0
2017-11-27,2146.0,240541.7064,0
2017-12-13,6220.0,707561.076,0
2017-12-15,49702.0,5649298.306799999,0
2018-02-14,1712.0,205440.0,0
2018-04-30,8423.0,1075348.4063,0
2018-05-10,38500.0,5056116.45,0
2018-08-06,6912.0,967738.0608,0
2018-08-08,25064.0,3523111.1344000003,0
2018-08-17,9.0,1267.8525,0
2018-11-02,99636.0,13877690.6604,0
2018-11-16,31.0,4353.6958,1
2018-11-20,3643.0,484764.90249999997,0
2018-12-03,16116.0,2335362.5648000003,0
2019-01-11,13.0,1792.297,1
2019-02-07,81005.0,11339792.743999999,0
2019-03-11,15000.0,2250000.0,0
2019-03-12,6480.0,978480.0,0
2019-03-15,91046.0,14229643.072199998,0
2019-04-30,75676.0,12504724.942799998,0
2019-07-26,3500.0,639556.75,0
2019-08-06,1000.0,171129.9,1
2019-08-21,25051.0,4537640.4411,0
2019-09-13,6.0,1062.405,0
2019-10-17,10.0,1780.9,1
2019-10-29,21164.0,3782284.0483999997,0
2019-10-30,7000.0,1244530.0,0
2019-11-18,1.0,179.6532,1
2019-11-20,35.0,6352.9375,1
2019-11-20,3110.0,567621.6499999999,0
2019-11-29,7000.0,1286040.0,0
2019-12-02,13206.0,2400556.3062,0
2019-12-17,166.0,30750.9854,1
2019-12-30,7000.0,1325170.0,0
2020-01-16,131.0,26273.9102,1
2020-01-30,7000.0,1428000.0,0
2020-02-13,64315.0,13366959.477,0
2020-02-14,12871.0,2681824.3936,0
2020-02-18,5500.0,1161511.45,0
2020-02-28,7000.0,1218280.0,0
2020-03-19,31.0,4800.0803,0
2020-03-30,7000.0,1129800.0,0
2020-04-20,42.0,6960.6138,1
2020-04-30,7000.0,1272460.0,0
2020-05-27,26150.0,5017379.58,0
2020-05-29,7000.0,1361500.0,0
2020-06-02,36624.0,7217960.4672,0
2020-06-10,3279.0,662413.0872,0
2020-06-30,7000.0,1340430.0,0
2020-07-30,7000.0,1365000.0,0
2020-08-04,1550.0,298592.46499999997,0
2020-08-06,452.0,88195.822,0
2020-08-17,5500.0,1099945.0,0
2020-08-19,76220.0,15380555.751999998,0
2020-08-26,45036.0,9457560.0,0
2020-08-28,52036.0,11121704.0,0
2020-09-30,7000.0,1405740.0,0
2020-10-30,9000.0,1642770.0,0
2020-11-30,9000.0,1884600.0,0
2020-12-02,2157.0,450529.78589999996,0
2020-12-30,60048.0,13210560.0,0
2020-12-31,9000.0,1965600.0,0
2021-01-29,9000.0,1779570.0,0
2021-02-08,11193.0,2350530.0,0
2021-02-18,4900.0,1016799.0,0
2021-02-26,9000.0,1926450.0,0
2021-03-01,11193.0,2407278.51,0
2021-03-08,31750.0,7080250.0,0
2021-03-18,29956.0,6680787.12,0
2021-03-31,9000.0,1912950.0,0
2021-04-01,11194.0,2394060.7800000003,0
2021-04-22,31750.0,7302500.0,0
2021-04-30,34000.0,7974447.5,0
2021-05-03,21193.0,4942017.65,0
2021-05-06,3783.0,871490.4666,0
2021-05-17,1300.0,293956.13,0
2021-05-28,9000.0,2048310.0,0
2021-06-01,11193.0,2568780.0683999998,0
2021-06-02,12735.0,2948291.3115,0
2021-06-29,6275.0,1476695.75,0
2021-06-30,9000.0,2115990.0,0
2021-07-01,11194.0,2621634.8,0
2021-07-06,42336.0,10160640.0,0
2021-07-28,2091.0,520052.61000000004,0
2021-07-30,9000.0,2224890.0,0
2021-08-02,11193.0,2756679.198,0
2021-08-31,9000.0,2078190.0,0
2021-09-01,11193.0,2564316.3,0
2021-09-30,9000.0,2048220.0,0
2021-10-01,11194.0,2509358.98,0
2021-10-29,9000.0,1877130.0,0
2021-11-01,11193.0,2377840.92,0
2021-11-30,9000.0,1757430.0,0
2021-12-09,11193.0,2350530.0,0
2021-12-17,14.0,2978.5209999999997,1
2021-12-31,9000.0,1951290.0,0
2022-01-03,18303.0,3998898.88,0
2022-01-19,3.0,649.0998,1
2022-01-31,9000.0,2024100.0,0
2022-02-01,3.0,693.2985,1
2022-02-01,1737.0,402098.9985,0
2022-02-03,3.0,697.2,1
2022-02-08,6466.0,1462027.26,0
2022-02-28,9000.0,1944000.0,0
2022-03-16,1114.0,234981.59,0
2022-03-28,6466.0,1422520.0,0
2022-03-31,9000.0,2015190.0,0
2022-04-01,6467.0,1446344.55,0
2022-04-29,9000.0,1967580.0,0
2022-05-31,9000.0,1893420.0,0
2022-06-09,3.0,632.7701999999999,1
2022-06-30,9000.0,1758330.0,0
2022-07-29,9000.0,1908990.0000000002,0
2022-08-31,9000.0,1809000.0,0
2022-09-29,6000.0,1080000.0,0
2022-11-30,1060.0,221695.926,0
2022-12-01,40457.0,8777409.1205,0
2022-12-02,25627.0,5552559.0,0
2023-01-09,58197.0,3635275.605,0
2023-02-03,61721.0,14190997.2457,0
2023-02-24,13394.0,2933286.0,0
2023-03-06,58000.0,12991280.799999999,0
2023-04-27,19422.0,4448348.845199999,0
2023-04-28,41288.0,9554649.7464,0
2023-05-01,74989.0,17464015.998,0
2023-07-05,26325.0,6318000.0,0
2023-07-11,23125.0,5554742.03,0
2023-08-01,8150.0,1956000.0,0
2023-09-01,8150.0,2016880.5,0
2023-09-13,15800.0,3950083.74,0
2023-10-16,8150.0,1956000.0,0
2023-11-01,40000.0,9445600.0,0
2023-11-02,8150.0,1956000.0,0
2023-11-17,9200.0,2300050.6,0
2023-11-22,7811.0,1977510.8699999999,0
2023-12-01,8150.0,2084688.5,0
2023-12-04,27679.0,7099281.5298,0
2023-12-13,25000.0,6500980.0,0
2024-01-02,8150.0,2115821.5,0
