date,shares,amount,buy_flag
2004-02-06,3309.0,191435.74,0
2004-03-18,2800.0,5470.92,0
2004-03-19,1000.0,1882.0,0
2004-03-22,1000.0,1859.0,0
2004-03-23,4000.0,7103.2,0
2004-03-24,7400.0,13049.16,0
2004-03-25,7800.0,14259.960000000001,0
2004-06-23,509331.0,1018662.0,0
2004-07-01,200.0,11434.0,1
2004-08-06,30000.0,1688062.0,1
2004-08-26,21000.0,1234765.0,0
2004-09-02,95000.0,5619337.0,0
2004-09-23,3000.0,175203.0,0
2004-11-09,16000.0,983510.0,0
2004-11-11,95000.0,5878436.0,0
2004-12-07,17960.0,1118192.4,0
2004-12-22,39876.0,2478031.88,0
2005-03-02,2000.0,119440.0,1
2005-03-15,349.0,20936.510000000002,1
2005-08-10,33458.0,2023556.569,0
2005-08-26,10000.0,590920.0,1
2005-11-22,23370.0,1474641.0,0
2005-11-23,95000.0,6063614.0,0
2005-12-06,12500.0,794104.0,0
2005-12-14,132188.0,8460032.0,0
2006-01-30,54.0,3376.62,1
2006-02-02,12000.0,739952.0,0
2006-04-20,310.0,20171.699999999997,1
2006-05-09,51764.0,3547092.0,0
2006-06-02,28.0,1911.2800000000002,1
2006-06-08,15.0,1023.5999999999999,1
2006-06-08,15000.0,1027293.0,0
2006-06-09,29.0,2010.8600000000001,1
2006-06-14,14.0,930.72,1
2006-07-12,10.0,689.2,1
2006-07-14,14.0,951.8599999999999,1
2006-07-19,17.0,1198.67,1
2006-07-19,95000.0,6650000.0,0
2006-07-21,12.0,857.04,1
2006-07-27,34331.0,2439560.86,0
2006-07-31,95000.0,6882834.0,0
2006-08-01,12897.0,932444.16,0
2006-09-01,0.664,23.1518872,0
2006-09-06,0.18,6.276114,0
2006-10-27,42000.0,1533010.0,0
2006-11-08,10000.0,368778.0,0
2006-11-14,95000.0,3498364.0,0
2007-01-17,28374.0,1029408.7200000001,0
2007-03-20,10000.0,342500.0,1
2007-04-30,95000.0,3434850.0,0
2007-05-09,19500.0,702541.0,0
2007-06-01,25825.0,941837.75,0
2007-06-20,1050.0,37789.5,1
2007-08-17,164175.0,6067831.0,0
2007-08-20,23457.6969,866611.7711948401,0
2007-08-28,500.0,17780.0,0
2008-05-15,1550.0,44841.5,1
2008-06-06,40398.0,1052367.9,1
2008-06-27,2000.0,48517.0,1
2009-01-29,16000.0,317546.39999999997,1
2009-02-18,10000.0,131920.88,1
2009-02-19,10000.0,125000.0,1
2009-02-20,32500.0,343148.95,1
2009-03-05,103000.0,837200.0000000001,1
2009-03-10,15000.0,164250.0,1
2009-08-06,25000.0,699026.7,0
2009-08-21,25000.0,700000.0,0
2009-09-15,25000.0,716573.97,0
2009-11-24,2000.5569,55735.515234,0
2010-02-17,21.0,576.2547,0
2010-03-02,20000.0,562000.0,0
2010-03-08,172778.0,5003426.3374,0
2010-03-09,26500.0,756699.71,0
2010-03-22,20000.0,610000.0,0
2010-03-24,14405.0,446122.85,0
2010-04-28,22000.0,712619.6000000001,0
2010-04-29,6400.0,212800.0,0
2010-04-30,13600.0,452472.00000000006,0
2010-07-06,95.0,2406.3215,1
2010-07-22,110550.0,2966354.985,0
2010-08-11,102163.0,2731675.1591999996,0
2010-11-02,150000.0,3915000.0,0
2010-11-03,140000.0,3675000.0,0
2010-11-04,125000.0,3303750.0,0
2010-11-05,150000.0,3975000.0,0
2010-11-08,170000.0,4494800.0,0
2010-11-09,250000.0,6760040.0,0
2010-11-10,300000.0,8420705.280000001,0
2010-11-11,470177.0,13315412.64,0
2010-11-12,116366.0,3266393.62,0
2010-11-15,108634.0,2983089.64,0
2010-12-08,10000.0,292300.0,0
2011-04-21,10000.0,285400.0,1
2011-08-09,1000.0,22805.5,1
2011-08-12,1224.0,29846.627999999997,0
2011-10-27,50000.0,1357030.0,0
2011-11-08,76000.0,1987582.4,0
2011-12-28,1224.0,33385.9642,1
2012-01-18,24000.0,719402.4,0
2012-01-31,43000.0,1257879.0,0
2012-02-14,8884.0,267877.3268,0
2012-02-16,4450.015,134256.95255000002,0
2012-03-01,27608.0,873597.1832,0
2012-04-27,48700.0,1650223.85,0
2012-05-09,51029.0,1664181.1519,0
2012-07-16,27000.0,922713.0,0
2012-07-27,54673.0,1856568.7215999998,0
2012-07-31,35000.0,1184942.5,0
2012-08-06,34000.0,1166264.6,0
2012-08-10,8000.0,200800.0,1
2012-08-14,77900.0,236652.41,0
2012-08-15,19134.0,58238.1558,0
2012-08-16,17200.0,52836.68,0
2012-08-17,41100.0,122724.6,0
2012-08-20,62697.0,186279.0567,0
2012-08-21,74700.0,234244.26,0
2012-08-22,108900.0,364869.44999999995,0
2012-08-23,100000.0,329860.0,0
2012-08-24,101995.0,347170.581,0
2012-10-17,10000.0,339600.0,1
2012-10-26,37968.0,1284837.12,0
2013-01-14,52500.0,1831861.5,0
2013-01-15,20400.0,716874.36,0
2013-01-25,36313.0,1273958.0851,0
2013-04-15,170000.0,6284978.5,0
2013-04-24,7295.0,272395.30000000005,0
2013-04-26,14700.0,553058.1,0
2013-04-30,95801.0,3625685.5997,0
2013-05-03,2000.0,75520.2,0
2013-05-09,3000.0,115320.0,0
2013-05-15,70000.0,2706025.0,0
2013-07-15,81906.0,3535941.42,0
2013-07-24,101886.0,4544115.600000001,0
2013-07-26,80969.0,3523112.3090000004,0
2013-07-29,2936.0,127099.44,0
2013-07-30,38000.0,1643880.0,0
2013-07-31,100000.0,4374500.0,0
2013-08-01,39700.0,1767047.0,0
2013-08-14,9307.0,403486.37100000004,0
2013-10-30,300000.0,12954000.0,0
2013-11-07,65750.0,2788457.5,0
2013-11-08,6702.0,284969.04000000004,0
2013-11-25,10000.0,444400.0,0
2013-11-29,13377.0,590862.09,0
2013-12-09,3887.0,172077.49000000002,0
2014-01-15,3800.0,174420.0,0
2014-01-24,75000.0,3438000.0000000005,0
2014-02-28,25794.0,1200452.76,0
2014-04-15,226800.0,11007172.0,0
2014-04-16,28462.0,1396914.96,0
2014-04-21,45000.0,2206800.0,0
2014-04-28,80000.0,3892000.0,0
2014-09-02,60000.0,3089455.0,0
2014-10-29,10000.0,517700.00000000006,0
2014-10-31,20000.0,1058200.0,0
2014-11-03,7740.0,414399.6,0
2014-11-05,10000.0,534900.0,0
2014-11-06,160663.0,8679015.26,0
2014-11-07,193534.0,10466818.719999999,0
2014-11-11,219835.0,11818329.6,0
2014-12-10,1964.0,106586.8692,0
2015-01-23,35000.0,1872353.0,0
2015-04-15,145000.0,7915600.0,0
2015-04-16,147000.0,8045870.0,0
2015-04-21,18000.0,982440.0,0
2015-04-27,19696.0,1085249.6,0
2015-04-30,19000.0,1046140.0,0
2015-05-04,18000.0,999900.0,0
2015-05-08,17500.0,967225.0,0
2015-05-15,50000.0,2800000.0,0
2015-06-02,20000.0,1119600.0,0
2015-07-23,31000.0,1806680.0,0
2015-10-22,24000.0,1302720.0,0
