date,shares,amount,buy_flag
2003-08-19,35817.0,2105244.14,0
2003-10-07,11000.0,644520.0,0
2003-11-24,2500.0,137925.0,1
2003-11-25,2500.0,140250.0,1
2004-02-23,25000.0,1496950.0,0
2004-02-24,2500.0,149875.0,1
2004-02-25,2500.0,149675.0,1
2004-03-30,186003.0,11160180.0,0
2004-05-24,2500.0,139025.0,1
2004-05-25,2500.0,137475.0,1
2004-06-04,6687.0,379182.64,0
2004-06-10,21818.0,1239418.3,0
2004-07-13,750000.0,39568293.0,1
2004-09-14,1200000.0,64005220.0,0
2004-09-15,1311000.0,69413752.0,0
2004-09-16,1700000.0,89738468.0,0
2004-09-17,2996676.0,157920621.68,0
2004-09-20,1289400.0,67246868.0,0
2004-09-21,2500000.0,131357884.0,0
2004-09-22,1303652.0,711507223.8399999,0
2004-12-14,175000.0,9335725.0,0
2004-12-17,1159.0,13690.6875,0
2004-12-30,281000.0,14933680.0,0
2005-02-22,2000.0,105200.0,1
2005-02-22,42066.0,2188911.52,0
2005-02-23,45000.0,2327850.0,0
2005-06-07,55.0,2637.25,0
2005-06-28,10000.0,484099.99999999994,0
2005-08-30,3000.0,136080.0,1
2005-09-07,800.0,36482.0,1
2005-12-01,2000.0,97180.0,1
2005-12-01,250402.0,12017122.44,0
2005-12-19,402.0,19746.239999999998,0
2005-12-21,8235.0,400711.45,0
2006-03-03,7506.0,340472.16,0
2006-03-22,10000.0,479099.99999999994,0
2006-12-13,2701.0,124056.93,0
2006-12-15,33879.0,1580960.51,0
2007-03-12,200000.0,9429750.0,0
2007-03-21,20000.0,949973.0,0
2007-03-22,21030.0,1010543.0000000001,0
2007-03-26,2500.0,118862.0,1
2007-03-27,2500.0,118221.0,1
2007-05-16,2500.0,118725.0,1
2007-05-17,2500.0,117650.0,1
2007-06-25,59645.0,2859497.75,0
2007-08-16,2500.0,107416.0,1
2007-08-17,2500.0,111302.0,1
2007-08-29,3445.0,150236.45,0
2007-09-19,50000.0,2249783.0,0
2007-09-20,100000.0,4415530.0,0
2007-09-21,150000.0,6678006.0,0
2007-11-15,2500.0,115350.0,1
2007-11-16,2500.0,116375.0,1
2008-02-01,72.0,3690.72,1
2008-03-11,5000.0,249308.0,1
2008-03-12,9231.275,464329.43999,0
2008-03-19,2500.0,127442.99999999999,1
2008-03-20,2500.0,127475.0,1
2008-03-24,4882.0,264018.56,0
2008-04-28,70.0,3990.7,0
2008-05-21,43750.0,2450000.0,0
2008-05-22,27700.0,1551200.0,0
2008-06-06,4000.0,238000.0,0
2008-08-15,9689.0,576263.44,0
2008-08-18,86506.0,5120481.6334,0
2008-08-22,146361.0,8683773.7632,0
2008-09-08,7000.0,430182.9,0
2008-09-09,1098.0,67392.2754,0
2008-09-19,13301.0,800404.9663,0
2008-09-23,5.0,295.79999999999995,0
2008-09-29,500.0,29686.0,0
2008-11-17,2500.0,130248.0,1
2008-11-18,2500.0,132100.0,1
2008-12-08,7000.0,410970.0,0
2009-02-23,140.0,7018.200000000001,1
2009-03-16,1200.0,58822.08,0
2009-03-17,2500.0,124375.0,1
2009-03-18,2500.0,125972.00000000001,1
2009-05-19,4100.0,203493.29,1
2009-05-20,2500.0,123781.0,1
2009-05-22,1500.0,74112.3,1
2009-05-26,100000.0,5040540.0,0
2009-08-19,2500.0,128592.0,1
2009-08-20,2500.0,128744.0,1
2009-11-13,251914.0,13429232.34,0
2009-11-18,2500.0,134380.0,1
2009-11-19,2500.0,135152.0,1
2009-11-23,31298.0,1712553.1418,0
2009-12-14,42071.0,2268518.8052,0
2009-12-29,17000.0,918938.4,0
2010-02-23,70238.0,3777680.5919999997,0
2010-03-15,102367.0,5669238.0105,0
2010-03-17,2500.0,139798.0,1
2010-03-18,2500.0,139697.0,1
2010-03-30,23802.0,1331614.1913,0
2010-05-19,2500.0,134269.0,1
2010-05-20,2500.0,131477.0,1
2010-05-21,21088.0,1067799.3151999998,0
2010-06-02,11272.0,577614.4776,0
2010-08-19,2500.0,126716.0,1
2010-08-20,2500.0,125211.0,1
2010-11-18,2500.0,135182.0,1
2010-11-19,2500.0,135207.0,1
2010-11-23,113191.0,6114520.976,0
2010-12-03,9200.0,501669.56,0
2010-12-13,8395.0,455598.9321,0
2010-12-17,13598.0,740322.713,0
2011-03-09,49013.0,2580495.2396,0
2011-03-10,30000.0,1586241.0,0
2011-06-06,3493.0,188237.77,0
2011-06-22,74006.0,3921163.5064,0
2011-11-16,9885.0,563754.4005,0
2011-11-18,43016.0,2463100.4616,0
2011-11-25,100000.0,5711790.0,0
2011-12-13,17025.0,984024.57,0
2011-12-15,38685.0,2251640.1903,0
2011-12-19,6653.0,389200.5,0
2011-12-20,110.0,6422.9,0
2012-01-24,1492.0,91510.0296,0
2012-03-20,143206.0,8697401.601,0
2012-03-27,100000.0,6122490.0,0
2012-11-19,44193.0,3033983.689,0
2012-11-20,35834.0,2468461.4946999997,0
2013-02-25,2816.0,200112.56320000003,0
2013-06-10,9314.0,705628.64,0
2013-06-11,124050.0,9321700.035,0
2013-06-12,29869.0,2231070.9288,0
2013-06-17,2000.0,150390.19999999998,0
2013-08-21,1400.0,103600.0,0
2013-08-23,16682.0,1225708.2818,0
2013-12-10,2000.0,158740.0,0
2013-12-11,15000.0,1190100.0,0
2013-12-12,25900.0,2041645.091,0
2014-02-28,3000.0,225105.3,0
2014-03-07,673.0,50131.8373,0
2014-03-21,35504.0,2724271.6256,0
2014-05-30,1000.0,76550.1,0
2014-06-10,1200.0,92149.8,0
2014-08-25,662.0,50153.12,0
2014-11-14,64681.0,5337749.1845,0
2014-11-17,25605.0,2138392.85,0
2014-11-19,25562.0,2182983.7563,0
2014-11-24,12000.0,1022696.4,0
2014-11-25,7000.0,594724.2,0
2015-03-05,2400.0,199872.0,0
2015-12-02,10000.0,584587.0,1
2015-12-04,1277.0,76166.5373,0
2016-02-25,740.0,50064.626,0
2016-03-01,3000.0,199161.60000000003,0
2016-06-27,1434474.0,102708338.39999999,0
2016-06-28,2915526.0,207851723.76,0
2016-06-29,10794.0,773390.1000000001,0
2016-08-19,5882460.0,430917622.5059999,0
2016-08-22,4624734.0,336338404.88399994,0
2016-08-23,4257303.0,308505036.16470003,0
2016-08-24,5171235.0,374187461.85899997,0
2016-08-25,4514268.0,322794782.74319994,0
2016-08-26,5334668.0,380189730.1536,0
2016-08-29,666432.0,47512403.0784,0
2016-09-08,3906498.0,281139722.8656,0
2016-09-09,2393502.0,168912705.36720002,0
2016-11-21,75063.0,5185134.3573,0
2017-01-05,32350.0,2210087.3,0
2017-02-22,7392291.0,530459713.7235,0
2017-02-23,5733720.0,411911120.8583999,0
2017-02-24,6582024.0,474691599.67440003,0
2017-02-27,4420005.0,317357591.5545,0
2017-02-28,5841060.0,412662127.40999997,0
2017-03-01,6071976.0,427728205.36800003,0
2017-03-02,1714047.0,120838085.23889999,0
2017-03-14,1877049.0,132999620.82929999,0
2017-03-15,3853623.0,271063841.82,0
2017-03-16,3269328.0,230426814.4992,0
2017-05-19,5142.0,408069.63420000003,0
2017-05-22,3964020.0,311624693.46599996,0
2017-05-23,3766274.0,296381739.4952,0
2017-05-24,3856969.0,301890691.0085,0
2017-05-25,3583257.0,280849950.44879997,0
2017-05-26,3472500.0,271057794.0,0
2017-05-30,2515815.0,196773212.3175,0
2017-05-31,1851093.0,145350784.10880002,0
2017-06-05,4854900.0,389473186.23,0
2017-06-06,4808895.0,379153875.3387,0
2017-06-07,4529613.0,358337231.4687,0
2017-06-08,5306592.0,418722777.16139996,0
2017-06-09,5024175.0,398391454.2075,0
2017-06-12,3975825.0,314903387.62049997,0
2017-06-28,25728.614,1972098.2631000003,0
2017-08-21,94638.0,7571995.8438,0
2017-08-22,1327488.0,106254927.2448,0
2017-08-23,1938990.0,155511845.47500002,0
2017-08-24,388884.0,31282062.290400006,0
2017-08-29,9216.0,727698.1248,0
2017-08-30,2089089.0,164464993.8873,0
2017-08-31,1864500.0,145946161.35000002,0
2017-09-01,2400000.0,188050800.0,0
2017-09-05,4470621.0,354434033.45519996,0
2017-09-06,486405.0,38889587.605500005,0
2017-09-22,2144502.0,170598350.85300002,0
2017-09-25,3186543.0,253270357.10430002,0
2017-09-26,670541.0,53056497.39980001,0
2017-11-17,8813714.173,862230306.8426701,0
2017-11-20,3006630.0,289335459.21,0
2017-11-21,3788259.0,367019303.30219996,0
2017-11-22,2479851.0,239043749.2344,0
2017-11-27,3509544.0,340025539.9014,0
2017-11-28,2661468.0,256673237.74380004,0
2017-11-29,3141256.0,306627688.78980005,0
2017-11-30,1332951.0,129789763.12860002,0
2017-12-04,1636512.0,158884040.54400003,0
2017-12-05,3957399.0,386272614.3723,0
2017-12-11,2065.0,200291.1645,0
2018-06-05,1776465.0,150351538.7295,0
2018-06-06,1820853.0,154160842.4476,0
2018-06-07,2503917.0,213319355.63459998,0
2018-06-08,1999335.0,168832244.607,0
2018-06-11,1473360.0,124102586.16,0
2018-06-12,1845456.0,154820840.208,0
2018-06-13,1963038.0,165135860.45880002,0
2018-06-14,1961490.0,164638651.92540002,0
2018-06-15,748452.0,62571635.032800004,0
2018-06-18,1532679.0,127446243.8154,0
2018-06-19,1652874.0,137148046.587,0
2018-08-17,1783188.0,175258236.3228,0
2018-08-20,863169.0,83013610.2432,0
2018-08-21,4574715.0,438802088.085,0
2018-08-23,1575024.0,150161685.64319998,0
2018-08-24,2253162.0,214256423.238,0
2018-08-30,18421.0,1771066.7819,0
2018-08-31,1575.0,150387.615,0
2018-09-05,691500.0,66180076.650000006,0
2018-09-06,12111.0,1166352.2772,0
2018-09-11,1800000.0,174464347.1898,0
2018-09-12,1291920.0,124360606.776,0
2018-09-13,1594080.0,151800253.20000002,0
2018-09-18,1800000.0,171669420.0,0
2018-09-26,2343555.0,222952022.2125,0
2018-09-27,2422962.0,228872505.92760003,0
2018-09-28,1272482.0,119629748.55069998,0
2018-11-16,3845442.0,375729246.6372,0
2018-11-19,2735994.0,265801217.74019998,0
2018-11-20,2120307.0,199872435.6006,0
2018-11-21,1933215.0,181929721.26450002,0
2018-11-26,3594081.0,342152185.4028,0
2018-11-27,3774987.0,358779425.03400004,0
2018-11-28,829000.0,79992290.0,0
2018-12-03,1161000.0,114590119.5,0
2018-12-04,2166468.0,211239320.8134,0
2018-12-11,2188407.0,205692914.2683,0
2018-12-12,2533113.0,237210073.83810002,0
2018-12-13,1278480.0,118913853.912,0
2018-12-14,896178.0,82660680.5682,0
2018-12-17,1500.0,138000.0,0
2018-12-19,1501500.0,138574636.2,0
2018-12-28,2204850.0,203905934.7033,0
2019-02-20,3430495.0,342120579.87930006,0
2019-02-21,2148519.0,213375008.0394,0
2019-02-22,2329590.0,232113824.74800003,0
2019-02-25,1982877.0,197368936.91430002,0
2019-02-26,2724780.0,268330788.07500002,0
2019-02-27,2117574.0,207787372.2648,0
2019-02-28,5382426.0,532998208.0101,0
2019-03-01,2083449.0,205129335.1197,0
2019-03-04,1992984.0,195125675.5587,0
2019-03-19,74019.0,7401988.8228,0
2019-03-20,2231472.0,220949384.02560002,0
2019-03-21,2715597.0,268232050.24830005,0
2019-03-22,2797557.0,275766146.20860004,0
2019-03-25,3708747.0,364248281.73510003,0
2019-03-26,3813792.0,375362943.12,0
2019-03-27,4440288.0,432946533.56939995,0
2019-03-28,2376114.0,230618605.20539996,0
2019-03-29,2000.0,194334.2,0
2019-05-17,4894796.0,494789804.6096,0
2019-05-20,2462208.0,249784783.3704,0
2019-05-21,2420463.0,244605089.44619992,0
2019-05-22,3966987.0,404804700.2049,0
2019-05-23,2525760.0,256221681.98399997,0
2019-06-06,2232926.0,235076328.8883,0
2019-06-07,831039.0,87636802.22549999,0
2019-06-27,3000.0,327420.0,0
2019-08-19,7900.0,906285.63,0
2019-09-04,3680.0,424609.808,0
2019-11-15,14202.0,1692856.548,0
2019-12-20,85000.0,10248458.5,0
2020-01-14,85000.0,9852265.0,0
2020-02-07,85000.0,9892606.0,0
2020-02-24,50000.0,5825205.0,0
2020-02-26,16205.0,1853608.925,0
2020-03-10,85000.0,9979951.537700001,0
2020-04-15,85000.0,10924618.3264,0
2020-05-07,85000.0,10459301.1703,0
2020-05-21,7324.0,922824.0,0
2020-06-09,85000.0,10275327.0,0
2020-07-07,85000.0,10484163.6632,0
2020-08-03,85000.0,10983432.1912,0
2020-08-19,4605.0,618175.2000000001,0
2020-09-10,85000.0,11775585.1549,0
2020-09-29,2256255.0,309548490.9795,0
2020-10-14,85000.0,12286602.050999999,0
2020-11-06,85000.0,12329331.4125,0
2020-11-18,20000.0,3004798.0193999996,0
2020-11-20,1350000.0,203782475.0979,0
2020-11-23,750000.0,112764835.5147,0
2020-11-25,30000.0,4556529.0,0
2020-11-30,1500000.0,228734421.144,0
2020-12-01,532539.0,81174108.5745,0
2020-12-02,549468.0,82863017.66880001,0
2020-12-03,717993.0,107130065.7759,0
2020-12-09,1249380.0,185175232.50599998,0
2020-12-10,1240959.0,182911083.9723,0
2020-12-11,902820.0,132636238.1196,0
2020-12-14,614163.0,89947335.70770001,0
2020-12-15,955116.0,139053055.0562,0
2020-12-16,986109.0,143826702.2856,0
2020-12-17,1739154.0,253939721.86229998,0
2020-12-18,2752299.0,401507469.3672,0
2020-12-21,3315000.0,483496824.5888999,0
2020-12-22,1129194.0,163227749.3325,0
2020-12-23,1645806.0,235852046.06819996,0
2020-12-29,1234065.0,178225977.4275,0
2020-12-30,4765935.0,687372926.2874999,0
2021-01-21,35000.0,5075062.215399999,0
2021-02-25,868680.0,114541191.28799999,0
2021-02-26,2131320.0,278427063.5271,0
2021-03-08,7725.0,1001375.5275000001,1
2021-03-17,1451508.0,192173651.4732,0
2021-03-18,318147.0,41750462.6247,0
2021-03-19,1230345.0,161840062.8819,0
2021-04-22,9708.0,1368928.9632,0
2021-05-19,1753875.0,249003867.3036,0
2021-05-20,4649364.0,661447987.9659001,0
2021-05-21,1591017.0,226217180.84160003,0
2021-05-24,2226627.0,316499786.9226,0
2021-05-25,4029637.0,572900220.4454,0
2021-05-26,1662339.0,236413364.2647,0
2021-05-27,2119422.0,302131068.324,0
2021-05-28,2869242.0,408075648.05639994,0
2021-06-01,2100129.0,298003039.9986,0
2021-06-02,5002017.0,706299911.4969001,0
2021-06-03,3288444.0,465429669.0975001,0
2021-06-04,1070664.0,151789105.94399998,0
2021-06-07,1367862.0,192721393.81080005,0
2021-06-08,1246578.0,175164902.19480002,0
2021-06-09,1600491.0,223305145.74389997,0
2021-06-10,2375643.0,332312909.1897,0
2021-06-11,5223663.0,734187401.7488999,0
2021-06-14,3041826.0,427058986.36560005,0
2021-06-15,2554089.0,357564170.3450999,0
2021-06-16,3690903.0,508763831.4819,0
2021-06-17,1999620.0,275362570.4778,0
2021-06-18,4086453.0,552913654.8159001,0
2021-06-21,2632206.0,359051319.1212,0
2021-06-22,3017496.0,413909558.3016,0
2021-06-23,2321766.0,316926399.0618,0
2021-06-24,5393769.0,738348709.7985001,0
2021-06-25,4648341.0,643111017.888,0
2021-06-28,3155790.0,436396842.255,0
2021-06-29,20720589.0,2846933116.4042997,0
2021-07-22,9708.0,1370866.6800000002,0
2021-08-18,1919423.0,289135479.03629994,0
2021-08-19,1760954.0,263846599.6769,0
2021-08-23,764100.0,115328516.58,0
2021-08-24,1133928.0,169276667.9196,0
2021-08-25,2521509.0,375440227.0671,0
2021-08-26,1363632.0,201065795.90399998,0
2021-08-27,1090539.0,159902309.2761,0
2021-09-02,2263965.0,336094089.55860007,0
2021-09-03,1633149.0,243409851.2565,0
2021-09-07,991077.0,146869190.238,0
2021-09-08,2011809.0,296804065.935,0
2021-09-09,3000000.0,439386534.729,0
2021-09-16,520713.0,75548426.6745,0
2021-09-17,1516287.0,220058858.62080002,0
2021-09-20,923781.0,131645271.33689998,0
2021-09-21,1152219.0,165356475.52890003,0
2021-09-23,9708.0,1390866.1308000002,0
2021-10-28,9708.0,1440650.6964,0
2021-11-24,9708.0,1424891.7,0
2021-11-29,1244187.0,178121331.0936,0
2021-11-30,1865988.0,263157712.3764,0
2021-12-01,1227693.0,171113264.18069997,0
2021-12-02,879678.0,120698747.80499999,0
2021-12-03,1476483.0,202634151.3966,0
2021-12-06,1721865.0,239047650.12150002,0
2021-12-07,924405.0,128464563.34829998,0
2021-12-08,1174017.0,160852662.741,0
2021-12-09,2112189.0,291349671.5496,0
2021-12-10,2775495.0,389274600.03569996,0
2021-12-16,1496181.0,216873981.08249995,0
2021-12-17,1300101.0,184053665.18400002,0
2021-12-20,2840943.0,394808808.52860004,0
2021-12-21,1098999.0,153040993.04520002,0
2021-12-23,290949.0,40731884.29259999,0
2021-12-27,1805535.0,253525641.45299998,0
2022-01-27,9708.0,1330717.3044,0
2022-02-18,30099.595999999998,4166955.669922,0
2022-02-24,9708.0,1308396.6708000002,0
2022-03-02,3502299.0,476999671.62090003,0
2022-03-03,22133.0,3099151.192,0
2022-03-08,150000.0,21018914.800499998,0
2022-03-09,384000.0,53643059.028,0
2022-03-11,15000.0,2139972.0,0
2022-03-24,9708.0,1382475.5064,0
2022-04-28,9708.0,1499052.0828,0
2022-05-26,9708.0,1219384.0188,0
2022-06-23,9708.0,1185607.9452,0
2022-07-28,9708.0,1233390.7212,0
2022-08-17,2795304.0,391437768.19500005,0
2022-08-18,813129.0,113172437.45220001,0
2022-08-19,750000.0,103374460.07159999,0
2022-08-22,423450.0,57470560.458,0
2022-08-23,134640.0,18041308.025399994,0
2022-08-24,409851.0,55344379.0782,0
2022-08-25,1052334.0,142754366.63160002,0
2022-09-22,14083.0,1889221.3599999999,0
2022-10-27,14083.0,1987229.6844000001,0
2022-11-16,3892419.0,577974562.8143,0
2022-11-17,6373881.0,943655556.2706001,0
2022-11-18,750000.0,112108350.0,0
2022-11-21,4853.0,731134.5386000001,0
2022-11-23,14083.0,2142113.4856000002,0
2022-11-30,3879654.0,590679857.1666,0
2022-12-01,1481346.0,225978683.0391,0
2022-12-08,1368090.0,203552091.504,0
2022-12-09,612342.0,89904367.0728,0
2022-12-12,2579568.0,380056710.1488,0
2022-12-13,2619015.0,386192996.5328999,0
2022-12-14,1693485.0,249069602.4771,0
2022-12-22,14083.0,2029745.3976,0
2022-12-23,1050000.0,150476051.33040002,0
2023-01-26,14083.0,2019533.8099999998,0
2023-02-22,2556645.0,368816360.75009996,0
2023-02-23,2132674.0,303009685.3579,0
2023-02-24,512193.0,72584542.9239,0
2023-02-27,579393.0,82583367.5697,0
2023-02-28,1700485.0,241906571.4836,0
2023-03-01,98610.0,13840626.5334,0
2023-03-02,1609479.0,226086895.0359,0
2023-03-03,3465447.0,487102093.3092,0
2023-03-06,2294706.0,322750398.9,0
2023-03-07,1500000.0,209767845.5049,0
2023-03-08,1808895.0,249949131.53100002,0
2023-03-09,590748.0,81790301.1708,0
2023-03-10,472218.0,65167075.65780001,0
2023-03-13,1105542.0,152706637.0386,0
2023-03-14,3231612.0,446232295.60199994,0
2023-03-15,7245.0,1000167.9029999999,1
2023-03-15,4650996.0,642814401.8321999,0
2023-03-20,5872131.0,826333637.6537999,0
2023-03-21,1802247.0,253142530.689,0
2023-03-22,1436292.0,202104807.21839997,0
2023-03-23,2640399.0,371939105.0353,0
2023-03-24,3424362.0,486307670.32199997,0
2023-03-27,4518681.0,651412580.2341001,0
2023-03-28,4803000.0,690768630.0543001,0
2023-03-29,5724993.0,825241271.8167,0
2023-03-30,4512117.0,656550750.8934,0
2023-04-27,4375.0,660625.0,0
2023-05-19,1365180.0,204750380.94690007,0
2023-05-22,1800.0,270036.0,0
2023-05-23,6600.0,975367.7999999999,0
2023-06-05,579882.0,87079604.1996,0
2023-06-07,1582377.0,237420319.7931,0
2023-06-08,511761.0,76827813.06840001,0
2023-06-14,4000.0,626941.2,0
2023-06-16,4107000.0,640674554.823,0
2023-06-22,1429818.0,222690707.916,0
2023-06-23,3550890.0,552236021.4021,0
2023-06-26,1600455.0,248167758.4502,0
2023-06-27,1745724.0,270314842.2036,0
2023-06-28,4587562.0,712508596.9145001,0
2023-06-29,6447825.0,992755951.2465,0
2023-07-03,8526.0,1346821.7595000002,0
2023-07-26,4375.0,696675.0,0
2023-07-27,9708.0,1549157.0124,0
2023-08-01,1000.0,159476.59399999998,0
2023-08-23,4375.0,685168.7500000001,0
2023-08-24,9708.0,1536710.3856000002,0
2023-09-01,1000.0,161374.494,0
2023-09-27,4375.0,708750.0,0
2023-09-28,9708.0,1576620.9444000002,0
2023-10-02,1000.0,159501.2293,0
