date,shares,amount,buy_flag
2003-08-05,100000.0,3581000.0,0
2003-08-06,10000.0,355800.0,0
2003-08-29,25000.0,938165.0,0
2003-09-03,90708.0,3451493.0832,0
2003-09-04,15000.0,570000.0,0
2003-09-08,55608.0,2128313.744,0
2003-09-09,35000.0,1338550.0,0
2003-09-11,110000.0,4213718.0,0
2003-09-15,15000.0,565555.5,0
2003-09-16,25000.0,939330.0,0
2003-09-23,100000.0,3707100.0,0
2003-11-04,25000.0,911899.9999999999,0
2003-11-14,33708.0,1218598.36,0
2003-11-20,11331.0,399417.75,0
2003-11-24,38000.0,1351359.8,0
2003-12-01,10000.0,364099.99999999994,0
2004-01-29,285892.0,11840537.6,0
2004-02-02,26696.0,1092400.32,0
2004-02-09,7500.0,305550.0,0
2004-02-10,52500.0,2150039.0,0
2004-02-11,127600.0,5339464.0,0
2004-02-12,62892.0,2637469.56,0
2004-02-13,60000.0,2520900.0,0
2004-02-17,26696.0,1129550.4736,0
2004-02-18,8475.0,356882.25,0
2004-02-20,127092.0,5358579.8816,0
2004-02-23,154300.0,6567537.0,0
2004-02-24,50000.0,2125081.0,0
2004-03-09,25000.0,1068750.0,0
2004-04-29,30328.0,1314482.0,0
2004-04-30,132900.0,5756858.0,0
2004-05-03,122100.0,5298535.0,0
2004-05-04,90836.0,3975252.2,0
2004-05-05,25460.0,1117694.0,0
2004-05-06,8669.0,380569.1,0
2004-05-25,50000.0,2187500.0,0
2004-06-01,43392.0,1899568.76,0
2004-06-02,50000.0,2196000.0,0
2004-06-07,75000.0,3295078.0,0
2004-06-10,62500.0,2748370.0,0
2004-06-14,50000.0,2200000.0,0
2004-07-29,133928.0,6173148.640000001,0
2004-07-30,135000.0,6243750.0,0
2004-08-03,89108.0,4154745.08,0
2004-08-23,62936.0,2854892.4,0
2004-08-26,50000.0,2267500.0,0
2004-09-01,70000.0,3255294.0,0
2004-09-02,50000.0,2335000.0,0
2004-09-03,85815.0,4041981.86,0
2004-09-07,50000.0,2353585.0,0
2004-09-09,52500.0,2492650.0,0
2004-09-14,90252.0,4298015.32,0
2004-10-29,55000.0,2705758.0,0
2004-11-04,100000.0,4982074.0,0
2004-11-05,101892.0,5095484.76,0
2004-11-12,114752.0,5778764.48,0
2004-11-15,31752.0,1592157.84,0
2004-11-23,5936.0,304041.92,0
2004-12-07,50000.0,2510000.0,0
2004-12-13,100000.0,5055400.0,0
2005-01-31,12500.0,646125.0,0
2005-02-01,27200.0,1425984.0,0
2005-02-02,20000.0,1079147.0,0
2005-02-03,25000.0,1357433.0,0
2005-02-04,95752.0,5264361.8,0
2005-02-08,10000.0,558800.0,0
2005-02-10,86836.0,4901506.0,0
2005-02-11,15000.0,845250.0,0
2005-02-15,25000.0,1421250.0,0
2005-02-16,46000.0,2643800.0,0
2005-02-22,63744.0,3807003.8,0
2005-02-24,22130.0,1330455.5999999999,0
2005-02-25,107500.0,6762528.0,0
2005-03-02,82936.0,5199808.2,0
2005-03-03,77752.0,4872945.36,0
2005-08-10,100740.0,6043900.0,0
2005-08-11,50000.0,3040000.0,0
2005-08-31,50000.0,2997500.0,0
2005-09-01,50000.0,3096000.0,0
2005-09-07,9000.0,549733.0,0
2005-09-09,80000.0,5019610.0,0
2005-09-12,74661.0,4691590.37,0
2005-09-14,50000.0,3135664.0,0
2005-11-21,36100.0,2126290.0,0
2005-11-23,6900.0,415656.0,0
2005-12-06,56000.0,3362331.0,0
2005-12-07,38486.0,2277959.8,0
2005-12-12,32744.0,1915664.6400000001,0
2005-12-14,37100.0,2219070.0,0
2006-01-30,20778.0,1313641.0,0
2006-01-31,8000.0,500800.0,0
2006-02-06,10000.0,622558.0,0
2006-02-13,1170.0,69673.5,0
2006-03-29,528.0,32361.12,0
2006-04-28,33500.0,2115180.0,0
2006-05-01,85000.0,5453713.0,0
2006-05-02,20000.0,1294000.0,0
2006-07-27,291245.0,19598354.919999998,0
2006-07-28,129496.0,8671860.0,0
2006-07-31,31138.0,2104928.8,0
2006-08-01,47238.0,3206546.88,0
2006-08-02,17484.0,1197654.0,0
2006-08-09,45106.0,3152909.4000000004,0
2006-08-21,20000.0,1397500.0,0
2006-08-23,50000.0,3491731.0,0
2006-10-26,23300.0,1682538.0,0
2006-10-27,11900.0,850829.08,0
2006-11-03,66744.0,4825591.2,0
2006-11-08,55000.0,4074732.0,0
2006-11-14,38536.0,2869666.84,0
2006-11-15,30000.0,2244000.0,0
2006-11-29,10000.0,755100.0,0
2006-12-04,16.0,1234.56,1
2006-12-05,10778.0,842727.16,0
2006-12-07,16687.0,1262371.55,0
2006-12-14,27238.0,2120149.3,0
2007-02-01,137238.0,10240488.98,0
2007-02-02,27500.0,2057434.1199999999,0
2007-02-14,16789.0,1266058.6,0
2007-02-15,9930.0,746519.1000000001,0
2007-04-26,47744.0,3817545.56,0
2007-04-27,75000.0,6005729.0,0
2007-04-30,18108.0,1459166.45,0
2007-05-02,16000.0,1280000.0,0
2007-05-03,61170.0,4938053.0,0
2007-05-04,24000.0,1952594.0,0
2007-05-08,26390.0,2138145.3,0
2007-05-09,37608.0,3053393.52,0
2007-05-17,50000.0,4100000.0,0
2007-05-21,17608.0,1474106.92,0
2007-05-23,20000.0,1666486.0,0
2007-06-01,63500.0,5334011.25,0
2007-06-14,45092.0,3815457.9,0
2007-08-08,150.0,12982.5,1
2007-09-06,14534.0,1279398.62,0
2007-09-13,11500.0,1017601.0,0
2007-09-14,68500.0,6085545.75,0
2007-11-07,28518.0,2566620.0,0
2007-12-05,41855.0,3772717.7800000003,0
2007-12-06,21002.0,1901830.7600000002,0
2007-12-07,72100.0,6600447.0,0
2007-12-12,50108.0,4643781.720000001,0
2008-02-07,12106.0,979281.3899999999,0
2008-02-21,13000.0,1142772.3499999999,0
2008-05-07,51000.0,4563934.0375,0
2008-05-13,5800.0,521710.0,0
2008-05-14,16164.0,1456699.6800000002,0
2008-05-16,57000.0,5255423.5,0
2008-05-19,144189.0,13470721.35,0
2008-05-20,10000.0,945507.0,0
2008-05-21,148012.0,14026792.16,0
2008-08-06,1100.0,86251.0,0
2008-11-04,77556.0,5979865.708799999,0
2008-12-12,20405.0,1635301.0,0
2008-12-15,33497.0,2703602.9333,0
2008-12-16,25000.0,2022500.0,0
2008-12-17,8892.0,737659.8684,0
2009-02-10,100.0,7931.0,0
2009-05-08,11205.0,792009.5329999999,0
2009-06-01,1000.0,71310.7,0
2009-06-02,10000.0,728043.0,0
2009-06-15,20000.0,1450200.0,0
2009-06-19,20000.0,1417686.0,0
2009-08-03,20000.0,1420000.0,0
2009-08-06,250.0,17485.399999999998,0
2009-08-11,8000.0,548024.8,0
2009-08-24,40000.0,2846564.0,0
2009-08-28,350.0,24500.559999999998,0
2009-09-08,20000.0,1413174.0,0
2009-09-09,20000.0,1420000.0,0
2009-09-11,2572.0,180812.59999999998,0
2009-09-15,31800.0,2220186.96,0
2009-09-18,9000.0,632721.6000000001,0
2009-11-06,22608.0,1628827.6592,0
2009-11-09,20000.0,1460000.0,0
2009-11-10,34308.0,2503946.9332,0
2009-11-16,15000.0,1114738.5,0
2009-11-20,67307.0,5007001.3835,0
2009-11-24,14000.0,1060529.0,0
2009-12-01,22253.0,1692118.12,0
2009-12-07,16353.0,1212429.4083,0
2009-12-17,3000.0,205805.4,0
2009-12-18,3000.0,205666.8,0
2010-03-15,18359.0,1216493.52,0
2010-06-18,14635.0,918889.2085000001,0
2010-08-03,6642.0,415331.5662,0
2010-08-18,10000.0,598591.0,1
2010-08-30,5232.0,312350.4,0
2010-09-01,20000.0,1218070.0,0
2010-09-08,5232.0,318876.4,0
2010-09-13,36993.0,2256573.0,0
2010-09-14,18007.0,1101254.5,0
2010-09-15,20000.0,1213732.0,0
2010-10-29,30257.0,2006047.6400000001,0
2010-11-03,5000.0,339631.20000000007,0
2010-11-04,15390.0,1068871.5,0
2010-11-05,61000.0,4255617.800000001,0
2010-11-08,55282.0,3885241.1399999997,0
2010-11-09,1928.0,135364.87999999998,0
2010-11-11,20000.0,1421399.9999999998,0
2010-11-16,8790.0,604284.7,0
2010-11-18,48790.0,3419831.0,0
2010-12-02,10607.0,755485.444,0
2010-12-07,35443.0,2549901.4688,0
2010-12-08,11307.0,813651.8107,0
2010-12-13,24466.0,1767166.77,0
2010-12-16,5061.0,364815.60569999996,0
2010-12-17,2500.0,179925.0,0
2011-02-01,86267.0,7118467.6345,0
2011-02-02,1500.0,125550.0,0
2011-02-08,5000.0,415750.0,0
2011-02-14,77771.0,6577453.24,0
2011-02-23,282305.0,24279100.553,0
2011-02-24,9893.0,852719.2206,0
2011-02-28,10000.0,860393.6,0
2011-03-03,6411.0,547346.1771,0
2011-03-18,10000.0,821500.0,0
2011-04-29,21500.0,1886512.25,0
2011-05-11,18000.0,1466317.8,0
2011-07-29,15000.0,1210500.0,0
2011-08-01,4200.0,336067.62,0
2011-08-11,10000.0,700000.0,1
2011-08-26,15000.0,1094250.0,0
2011-08-29,25.0,1837.7500000000002,0
2011-08-31,15000.0,1113150.0,0
2011-09-14,10000.0,730000.0,0
2011-09-15,63132.0,4652702.68,0
2011-09-16,57864.0,4277020.2791,0
2011-10-28,52789.0,4276030.740599999,0
2011-10-31,20000.0,1600000.0,0
2011-11-03,11807.0,922362.8400000001,0
2011-11-11,10000.0,796104.33,0
2011-11-14,678.0,53595.9,0
2011-11-18,11000.0,863720.0,0
2011-12-05,8522.0,688606.0904,0
2011-12-06,5327.0,429366.854,0
2011-12-07,8018.0,650843.5103999999,0
2011-12-12,10000.0,806885.9999999999,0
2011-12-13,5000.0,407500.0,0
2011-12-16,9182.0,739796.4946,0
2012-02-06,3014.0,255708.39,0
2012-02-21,24079.0,2076257.6576,0
2012-05-01,8000.0,698776.0,0
2012-08-17,5850.0,517274.55,0
2012-08-27,8090.0,710310.09,0
2012-09-10,11128.0,1000073.36,0
2012-11-26,5452.0,481139.0,0
2012-12-11,5186.0,462068.2798,0
2012-12-13,8000.0,712000.0,0
2012-12-18,13051.0,1163543.6336,0
2013-03-13,11000.0,978979.0,1
2013-03-14,5000.0,447050.0,0
2013-03-15,10059.0,899777.55,0
2013-05-01,5000.0,440071.5,0
2013-05-02,5000.0,443175.2,0
2013-09-13,7662.0,680010.9282,0
2013-11-18,2629.0,250910.5456,0
2013-12-02,6774.0,630769.1388000001,0
2013-12-06,22974.0,2178398.67,0
2013-12-09,4266.0,409344.45660000003,0
2013-12-16,52300.0,5092330.71,0
2013-12-18,3995.0,388779.41750000004,0
2014-02-26,3995.0,384736.47750000004,0
2014-05-02,16240.0,1660801.464,0
2014-06-17,5125.0,525056.25,0
2014-11-26,23500.0,2231656.35,0
2014-11-28,6117.0,559950.18,0
2014-12-02,5500.0,518499.78,0
2014-12-03,2500.0,236558.6,0
2014-12-05,4266.0,401004.0,0
2014-12-17,4642.0,414851.8264,0
2014-12-18,6000.0,542520.0,0
2014-12-19,4000.0,368000.0,0
2015-02-13,5339.0,494925.3,0
2015-03-19,6135.0,519635.11350000004,0
2015-05-04,2005.0,179360.884,0
2015-05-05,5000.0,450000.0,0
2015-06-15,150.0,12511.949999999999,0
2015-08-04,5115.0,399328.05,1
2015-11-02,10000.0,822000.0,0
2015-11-03,12000.0,1044392.4,0
2015-11-04,2711.0,235450.34999999998,0
2015-11-27,18761.0,1513635.179,0
2015-11-30,5953.0,483681.25,0
2015-12-04,2500.0,196159.0,0
2015-12-15,2575.0,200850.0,0
2016-02-03,2600.0,202800.0,0
2016-02-04,2600.0,207480.0,0
